Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,302.86874999999964
2021-06-17,0,2021-06-17 00:00:00,311.8499999999999
2021-06-24,0,2021-06-24 00:00:00,-379.6124999999993
2021-07-01,0,2021-07-01 00:00:00,1188.0187500000002
2021-07-08,0,2021-07-08 00:00:00,-1153.3437499999995
2021-07-15,0,2021-07-15 00:00:00,727.51875
2021-07-22,0,2021-07-22 00:00:00,-207.45000000000073
2021-07-29,0,2021-07-29 00:00:00,-26.831249999999727
2021-08-05,0,2021-08-05 00:00:00,-770.0249999999992
2021-08-12,0,2021-08-12 00:00:00,-828.1812499999992
2021-08-26,0,2021-08-26 00:00:00,126.78750000000082
2021-09-02,0,2021-09-02 00:00:00,-899.9812500000012
2021-09-09,0,2021-09-09 00:00:00,1625.5312500000002
2021-09-16,0,2021-09-16 00:00:00,-1339.3187500000008
2021-09-23,0,2021-09-23 00:00:00,-885.1374999999994
2021-09-30,0,2021-09-30 00:00:00,1065.037500000001
2021-10-07,0,2021-10-07 00:00:00,1123.049999999999
2021-10-14,0,2021-10-14 00:00:00,821.4749999999999
2021-10-21,0,2021-10-21 00:00:00,-2742.9125000000013
2021-10-28,0,2021-10-28 00:00:00,-2915.800000000003
2021-11-11,0,2021-11-11 00:00:00,-1034.6812499999992
2021-11-18,0,2021-11-18 00:00:00,-2132.8437499999995
2021-11-25,0,2021-11-25 00:00:00,365.8624999999988
2021-12-02,0,2021-12-02 00:00:00,224.34374999999818
2021-12-09,0,2021-12-09 00:00:00,1160.8687499999987
2021-12-16,0,2021-12-16 00:00:00,-485.16250000000036
2021-12-23,0,2021-12-23 00:00:00,1162.143749999999
2021-12-30,0,2021-12-30 00:00:00,991.1812499999994
2022-01-06,0,2022-01-06 00:00:00,-367.8187500000008
2022-01-13,0,2022-01-13 00:00:00,636.4125000000008
2022-01-20,0,2022-01-20 00:00:00,-916.231249999998
2022-01-27,0,2022-01-27 00:00:00,5104.7437500000015
2022-02-03,0,2022-02-03 00:00:00,-875.7687500000006
2022-02-10,0,2022-02-10 00:00:00,-692.6062500000007
2022-02-17,0,2022-02-17 00:00:00,2633.2875000000004
2022-02-24,0,2022-02-24 00:00:00,-4566.718750000002
2022-03-03,0,2022-03-03 00:00:00,-1977.2249999999976
2022-03-10,0,2022-03-10 00:00:00,-515.1937499999995
2022-03-17,0,2022-03-17 00:00:00,-1299.0375000000013
2022-03-24,0,2022-03-24 00:00:00,2621.26875
2022-03-31,0,2022-03-31 00:00:00,142.2750000000001
2022-04-07,0,2022-04-07 00:00:00,28.81875000000082
2022-04-21,0,2022-04-21 00:00:00,-769.3562500000025
2022-04-28,0,2022-04-28 00:00:00,-667.1562499999995
2022-05-05,0,2022-05-05 00:00:00,-2961.2874999999976
2022-05-12,0,2022-05-12 00:00:00,35.53125
2022-05-19,0,2022-05-19 00:00:00,-3174.1687500000007
2022-05-26,0,2022-05-26 00:00:00,2207.64375
2022-06-02,0,2022-06-02 00:00:00,-2008.8375000000005
2022-06-09,0,2022-06-09 00:00:00,-799.3312500000015
2022-06-16,0,2022-06-16 00:00:00,-2842.718750000001
2022-06-23,0,2022-06-23 00:00:00,4955.587500000001
2022-06-30,0,2022-06-30 00:00:00,1254.375
2022-07-07,0,2022-07-07 00:00:00,1977.0750000000016
2022-07-14,0,2022-07-14 00:00:00,-926.8124999999995
