type,strike,delta,entry_date,expiry_date,entry_price,exit_date,exit_price,exit_reason,Total_Returns
CE,80600.0,0.46330204500982763,2025-05-06 10:15:00,2025-05-06,75.8,2025-05-06 15:20:00,49.4,Final Expiry Exit,26.4
PE,80600.0,-0.5361145979246507,2025-05-06 10:15:00,2025-05-06,97.15,2025-05-06 15:20:00,2.45,Final Expiry Exit,94.7
CE,81100.0,0.07281255291482303,2025-05-06 10:15:00,2025-05-06,10.5,2025-05-06 15:20:00,0.2,Final Expiry Exit,10.3
CE,81800.0,0.5823967620303868,2025-05-13 10:15:00,2025-05-13,368.8,2025-05-13 11:05:00,517.85,Exit for Delta Adjustment,-149.05
PE,81800.0,-0.7345891168659731,2025-05-13 10:15:00,2025-05-13,397.65,2025-05-13 12:55:00,719.0,Exit Max Delta Leg,-321.35
CE,82000.0,0.1253403986240974,2025-05-13 10:30:00,2025-05-13,170.6,2025-05-13 15:20:00,0.3,Final Expiry Exit,170.29999999999998
PE,80600.0,-0.15375645463375276,2025-05-13 11:05:00,2025-05-13,38.15,2025-05-13 15:20:00,0.35,Final Expiry Exit,37.8
PE,81900.0,-0.6395956054539388,2025-05-20 10:15:00,2025-05-20,140.0,2025-05-20 11:55:00,257.35,Exit for Delta Adjustment,-117.35000000000002
CE,82300.0,0.06082218934955584,2025-05-20 11:55:00,2025-05-20,24.35,2025-05-20 13:00:00,13.25,Exit for Delta Adjustment,11.100000000000001
PE,81700.0,-0.7793932683162903,2025-05-20 10:40:00,2025-05-20,55.1,2025-05-20 13:45:00,348.0,Exit Max Delta Leg,-292.9
CE,81900.0,0.07384318085839184,2025-05-20 10:15:00,2025-05-20,152.5,2025-05-20 15:20:00,0.3,Final Expiry Exit,152.2
CE,81500.0,0.31187704911896663,2025-05-20 13:00:00,2025-05-20,143.85,2025-05-20 15:20:00,0.35,Final Expiry Exit,143.5
PE,81300.0,-0.38572022997735844,2025-05-20 13:45:00,2025-05-20,69.95,2025-05-20 15:20:00,109.4,Final Expiry Exit,-39.45
CE,81400.0,0.7564745248988736,2025-05-27 10:15:00,2025-05-27,268.45,2025-05-27 11:30:00,998.4,Exit Max Delta Leg,-729.95
PE,81400.0,-0.5471694102442388,2025-05-27 10:15:00,2025-05-27,330.0,2025-05-27 14:00:00,314.55,Exit for Delta Adjustment,15.449999999999989
PE,81300.0,-0.48791700752673656,2025-05-27 11:05:00,2025-05-27,195.45,2025-05-27 15:20:00,0.3,Final Expiry Exit,195.14999999999998
CE,82600.0,0.041857349234394055,2025-05-27 11:30:00,2025-05-27,277.0,2025-05-27 15:20:00,0.15,Final Expiry Exit,276.85
CE,81400.0,0.4460596582923425,2025-05-27 14:00:00,2025-05-27,145.8,2025-05-27 15:20:00,147.35,Final Expiry Exit,-1.549999999999983
PE,81200.0,-0.6884487069376695,2025-06-03 10:15:00,2025-06-03,446.6,2025-06-03 12:55:00,706.8,Exit for Delta Adjustment,-260.19999999999993
CE,81200.0,0.2701330573456524,2025-06-03 10:15:00,2025-06-03,403.3,2025-06-03 15:20:00,0.3,Final Expiry Exit,403.0
PE,80600.0,-0.4515921517381709,2025-06-03 10:25:00,2025-06-03,132.95,2025-06-03 15:20:00,0.25,Final Expiry Exit,132.7
CE,81500.0,0.1814590943925185,2025-06-03 12:55:00,2025-06-03,78.05,2025-06-03 15:20:00,0.2,Final Expiry Exit,77.85
CE,82600.0,0.4620496172645569,2025-06-10 10:15:00,2025-06-10,146.1,2025-06-10 15:20:00,0.15,Final Expiry Exit,145.95
PE,82600.0,-0.5331853356380106,2025-06-10 10:15:00,2025-06-10,209.0,2025-06-10 15:20:00,206.9,Final Expiry Exit,2.0999999999999943
CE,83400.0,0.07113571837345373,2025-06-10 10:15:00,2025-06-10,16.35,2025-06-10 15:20:00,0.1,Final Expiry Exit,16.25
CE,81500.0,0.8835583235226689,2025-06-17 10:15:00,2025-06-17,112.0,2025-06-17 10:40:00,163.35,Exit Max Delta Leg,-51.349999999999994
PE,81500.0,-0.31698644326752945,2025-06-17 10:15:00,2025-06-17,132.7,2025-06-17 15:20:00,0.65,Final Expiry Exit,132.04999999999998
PE,80700.0,-0.03870309323370732,2025-06-17 10:15:00,2025-06-17,16.05,2025-06-17 15:20:00,0.05,Final Expiry Exit,16.0
CE,81800.0,0.35568953650123675,2025-06-17 10:40:00,2025-06-17,54.7,2025-06-17 15:20:00,0.25,Final Expiry Exit,54.45
CE,82800.0,0.6108693088092749,2025-06-24 10:15:00,2025-06-24,233.8,2025-06-24 12:05:00,334.95,Exit for Delta Adjustment,-101.14999999999998
CE,82500.0,0.713878213863997,2025-06-24 12:45:00,2025-06-24,240.5,2025-06-24 12:55:00,411.05,Exit Max Delta Leg,-170.55
CE,83100.0,0.10040034005240295,2025-06-24 10:50:00,2025-06-24,61.95,2025-06-24 13:15:00,19.4,Exit for Delta Adjustment,42.550000000000004
PE,82800.0,-0.7380440420798015,2025-06-24 10:15:00,2025-06-24,202.55,2025-06-24 13:25:00,591.05,Exit Max Delta Leg,-388.49999999999994
CE,83100.0,0.07000005953939482,2025-06-24 12:55:00,2025-06-24,62.85,2025-06-24 15:20:00,0.2,Final Expiry Exit,62.65
CE,82500.0,0.3644539605670519,2025-06-24 13:15:00,2025-06-24,192.0,2025-06-24 15:20:00,0.3,Final Expiry Exit,191.7
PE,82200.0,-0.43445402010644674,2025-06-24 13:25:00,2025-06-24,193.7,2025-06-24 15:20:00,153.55,Final Expiry Exit,40.14999999999998
CE,83700.0,0.485186006421406,2025-07-01 10:15:00,2025-07-01,126.35,2025-07-01 15:20:00,2.05,Final Expiry Exit,124.3
PE,83700.0,-0.5168492890102111,2025-07-01 10:15:00,2025-07-01,124.65,2025-07-01 15:20:00,3.6,Final Expiry Exit,121.05000000000001
CE,83500.0,0.4196123033723725,2025-07-08 10:15:00,2025-07-08,85.4,2025-07-08 15:20:00,207.8,Final Expiry Exit,-122.4
PE,83500.0,-0.5707598591699582,2025-07-08 10:15:00,2025-07-08,157.5,2025-07-08 15:20:00,0.5,Final Expiry Exit,157.0
CE,83800.0,0.1511475557975857,2025-07-08 10:15:00,2025-07-08,24.3,2025-07-08 15:20:00,0.85,Final Expiry Exit,23.45
CE,82400.0,0.7612904713721882,2025-07-15 10:15:00,2025-07-15,98.7,2025-07-15 10:40:00,129.1,Exit Max Delta Leg,-30.39999999999999
PE,82400.0,-0.17752608949113435,2025-07-15 10:15:00,2025-07-15,116.45,2025-07-15 11:10:00,35.4,Exit for Delta Adjustment,81.05000000000001
PE,82700.0,0.0,2025-07-15 11:10:00,2025-07-15,126.7,2025-07-15 13:40:00,151.35,Exit for Delta Adjustment,-24.64999999999999
CE,82600.0,0.38125640880561795,2025-07-15 10:40:00,2025-07-15,52.85,2025-07-15 15:20:00,1.1,Final Expiry Exit,51.75
PE,82400.0,-0.22052786636881938,2025-07-15 10:55:00,2025-07-15,51.55,2025-07-15 15:20:00,0.1,Final Expiry Exit,51.449999999999996
PE,82300.0,-0.16072854243679857,2025-07-15 13:40:00,2025-07-15,13.8,2025-07-15 15:20:00,0.15,Final Expiry Exit,13.65
PE,82400.0,-0.7709909767790726,2025-07-22 10:15:00,2025-07-22,138.55,2025-07-22 11:10:00,271.9,Exit Max Delta Leg,-133.34999999999997
CE,82400.0,0.19312090650828334,2025-07-22 10:15:00,2025-07-22,78.75,2025-07-22 15:20:00,0.35,Final Expiry Exit,78.4
CE,82700.0,0.06174688378595726,2025-07-22 10:15:00,2025-07-22,22.1,2025-07-22 15:20:00,0.25,Final Expiry Exit,21.85
PE,82000.0,-0.2548677902942406,2025-07-22 11:10:00,2025-07-22,51.5,2025-07-22 15:20:00,0.15,Final Expiry Exit,51.35
PE,80800.0,-0.1565511739209835,2025-07-29 10:15:00,2025-07-29,119.75,2025-07-29 13:10:00,17.2,Exit for Delta Adjustment,102.55
CE,80800.0,0.9016964067984641,2025-07-29 10:15:00,2025-07-29,147.2,2025-07-29 14:00:00,415.2,Exit Max Delta Leg,-268.0
PE,80700.0,-0.7628739299299401,2025-08-05 10:15:00,2025-08-05,177.6,2025-08-05 14:10:00,140.6,Exit Max Delta Leg,37.0
CE,80700.0,0.24460564144313418,2025-08-05 10:15:00,2025-08-05,147.8,2025-08-05 15:20:00,38.5,Final Expiry Exit,109.30000000000001
PE,80700.0,-0.7628739299299401,2025-08-05 12:15:00,2025-08-05,58.0,2025-08-05 15:20:00,0.9,Final Expiry Exit,57.1
CE,80600.0,0.518268288486806,2025-08-05 14:10:00,2025-08-05,59.85,2025-08-05 15:20:00,137.8,Final Expiry Exit,-77.95000000000002
PE,80900.0,-0.7338915502765846,2025-08-12 10:15:00,2025-08-12,157.7,2025-08-12 10:35:00,344.45,Exit Max Delta Leg,-186.75
