Date,Daily PnL,SL,Initial Target,Final Target,File Path,File Name
2021-06-10,2466.8616262500004,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-06-17,-449.6657325,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-06-24,2209.6617975,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-07-01,2258.1197362499997,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-07-08,-1358.8463662499998,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-07-15,1643.0766675,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-07-22,2317.76027625,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-07-29,3581.3942174999997,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-08-05,3644.76229125,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-08-12,2306.577675,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-08-18,-4112.796003750001,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-08-26,3983.9678625,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-09-02,569.5469475,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-09-09,3186.27564,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-09-16,-532.661475,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-09-23,1721.35487625,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-09-30,759.65116875,-4001.25,4986.56,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-10-07,5187.9612637499995,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-10-14,-27.200000000000003,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-10-21,70.05742500000001,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-10-28,-30.950000000000003,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-11-03,2.9000000000000004,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-11-11,17.799999999999997,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-11-18,77.5124925,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-11-25,36.50962125,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-12-02,51.41975625,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-12-09,-72.4123575,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-12-16,133.42549875,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-12-23,29.04875,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2021-12-30,-79.957425,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2022-01-06,32.7820875,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2022-01-13,84.96756,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2022-01-20,-15.95,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2022-01-27,58.874823750000004,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
2022-02-03,-27.200000000000003,4986.56,6648.75,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_6648_final_target_13297.csv
