Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,679.5125
2021-06-16,1,2021-06-17 00:00:00,-1781.012499999999
2021-06-23,1,2021-06-24 00:00:00,2793.6
2021-06-30,1,2021-07-01 00:00:00,1584.025
2021-07-07,1,2021-07-08 00:00:00,-1058.5500000000002
2021-07-14,1,2021-07-15 00:00:00,1070.675
2021-07-28,1,2021-07-29 00:00:00,1087.7124999999999
2021-08-04,1,2021-08-05 00:00:00,2877.6500000000005
2021-08-11,1,2021-08-12 00:00:00,905.5750000000002
2021-08-18,0,2021-08-18 00:00:00,-6943.625
2021-08-25,1,2021-08-26 00:00:00,1687.475
2021-09-01,1,2021-09-02 00:00:00,3469.5249999999996
2021-09-08,1,2021-09-09 00:00:00,2932.7499999999995
2021-09-15,1,2021-09-16 00:00:00,-5551.475
2021-09-22,1,2021-09-23 00:00:00,-2091.087500000002
2021-09-29,1,2021-09-30 00:00:00,4099.925
2021-10-06,1,2021-10-07 00:00:00,852.6999999999996
2021-10-13,1,2021-10-14 00:00:00,-56.07499999999936
2021-10-20,1,2021-10-21 00:00:00,417.3875000000007
2021-10-27,1,2021-10-28 00:00:00,-11695.850000000002
2021-11-03,0,2021-11-03 00:00:00,-5593.074999999999
2021-11-10,1,2021-11-11 00:00:00,3274.6749999999993
2021-11-17,1,2021-11-18 00:00:00,2187.962499999999
2021-11-24,1,2021-11-25 00:00:00,2991.55
2021-12-01,1,2021-12-02 00:00:00,4756.075
2021-12-08,1,2021-12-09 00:00:00,2857.1500000000005
2021-12-15,1,2021-12-16 00:00:00,4184.425
2021-12-22,1,2021-12-23 00:00:00,771.1000000000017
2021-12-29,1,2021-12-30 00:00:00,2473.725
2022-01-05,1,2022-01-06 00:00:00,2310.2250000000004
2022-01-12,1,2022-01-13 00:00:00,2171.225
2022-01-19,1,2022-01-20 00:00:00,-12412.562499999996
2022-02-02,1,2022-02-03 00:00:00,4789.650000000001
2022-02-09,1,2022-02-10 00:00:00,1048.8999999999996
2022-02-16,1,2022-02-17 00:00:00,4731.0
2022-02-23,1,2022-02-24 00:00:00,-38118.6125
2022-03-02,1,2022-03-03 00:00:00,11625.824999999997
2022-03-09,1,2022-03-10 00:00:00,-6924.800000000005
2022-03-16,1,2022-03-17 00:00:00,-4240.762500000003
2022-03-23,1,2022-03-24 00:00:00,4343.25
2022-03-30,1,2022-03-31 00:00:00,2127.4
2022-04-06,1,2022-04-07 00:00:00,2599.5499999999997
2022-04-13,0,2022-04-13 00:00:00,-7842.975
2022-04-20,1,2022-04-21 00:00:00,-5108.462500000001
2022-04-27,1,2022-04-28 00:00:00,4610.85
2022-05-04,1,2022-05-05 00:00:00,-5542.1625
