Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,-300.4124999999999
2021-06-16,1,2021-06-17 00:00:00,-1207.475
2021-06-23,1,2021-06-24 00:00:00,1094.35
2021-06-30,1,2021-07-01 00:00:00,618.3375
2021-07-07,1,2021-07-08 00:00:00,1034.25
2021-07-14,1,2021-07-15 00:00:00,339.65000000000003
2021-07-28,1,2021-07-29 00:00:00,-219.32500000000027
2021-08-04,1,2021-08-05 00:00:00,1151.5250000000003
2021-08-11,1,2021-08-12 00:00:00,-103.97500000000014
2021-08-18,0,2021-08-18 00:00:00,-3753.3500000000013
2021-08-25,1,2021-08-26 00:00:00,647.3375
2021-09-01,1,2021-09-02 00:00:00,1308.5874999999996
2021-09-08,1,2021-09-09 00:00:00,1148.7749999999999
2021-09-15,1,2021-09-16 00:00:00,-2066.925
2021-09-22,1,2021-09-23 00:00:00,-928.7625
2021-09-29,1,2021-09-30 00:00:00,1614.2375
2021-10-06,1,2021-10-07 00:00:00,-78.0999999999998
2021-10-13,1,2021-10-14 00:00:00,69.17499999999995
2021-10-20,1,2021-10-21 00:00:00,-990.0499999999993
2021-10-27,1,2021-10-28 00:00:00,-4692.7375
2021-11-03,0,2021-11-03 00:00:00,-3070.5
2021-11-10,1,2021-11-11 00:00:00,1284.3874999999998
2021-11-17,1,2021-11-18 00:00:00,-46.6875
2021-11-24,1,2021-11-25 00:00:00,1165.0
2021-12-01,1,2021-12-02 00:00:00,1815.5124999999998
2021-12-08,1,2021-12-09 00:00:00,1252.3750000000002
2021-12-15,1,2021-12-16 00:00:00,1844.7625
2021-12-22,1,2021-12-23 00:00:00,-476.18749999999955
2021-12-29,1,2021-12-30 00:00:00,974.8125
2022-01-05,1,2022-01-06 00:00:00,1031.9375
2022-01-12,1,2022-01-13 00:00:00,939.7125
2022-01-19,1,2022-01-20 00:00:00,-4994.3625
2022-02-02,1,2022-02-03 00:00:00,2084.8
2022-02-09,1,2022-02-10 00:00:00,370.9749999999999
2022-02-16,1,2022-02-17 00:00:00,1871.6999999999998
2022-02-23,1,2022-02-24 00:00:00,-15268.650000000001
2022-03-02,1,2022-03-03 00:00:00,4282.762499999999
2022-03-09,1,2022-03-10 00:00:00,-3384.8375000000024
2022-03-16,1,2022-03-17 00:00:00,-2313.625
2022-03-23,1,2022-03-24 00:00:00,1697.475
2022-03-30,1,2022-03-31 00:00:00,932.4000000000001
2022-04-06,1,2022-04-07 00:00:00,1216.4499999999998
2022-04-13,0,2022-04-13 00:00:00,-3831.1375000000007
2022-04-20,1,2022-04-21 00:00:00,-2240.5000000000005
2022-04-27,1,2022-04-28 00:00:00,1818.65
2022-05-04,1,2022-05-05 00:00:00,-2650.5125
2022-05-11,1,2022-05-12 00:00:00,-7151.449999999999
2022-05-18,1,2022-05-19 00:00:00,-8818.95
2022-05-25,1,2022-05-26 00:00:00,1618.475
2022-06-01,1,2022-06-02 00:00:00,1963.8374999999996
2022-06-08,1,2022-06-09 00:00:00,2435.8125
2022-06-15,1,2022-06-16 00:00:00,2649.5375
2022-06-22,1,2022-06-23 00:00:00,1635.3999999999999
2022-06-29,1,2022-06-30 00:00:00,1626.5750000000005
2022-07-06,1,2022-07-07 00:00:00,-160.32500000000027
2022-07-13,1,2022-07-14 00:00:00,-86.57499999999959
2022-07-20,1,2022-07-21 00:00:00,1130.8625000000002
2022-07-27,1,2022-07-28 00:00:00,-5659.837499999999
2022-08-03,1,2022-08-04 00:00:00,1688.025
2022-08-10,1,2022-08-11 00:00:00,2021.6375
2022-08-17,1,2022-08-18 00:00:00,759.2
2022-08-24,1,2022-08-25 00:00:00,1342.4750000000001
2022-09-07,1,2022-09-08 00:00:00,-78.0625
2022-09-14,1,2022-09-15 00:00:00,1852.9750000000001
2022-09-21,1,2022-09-22 00:00:00,2814.7625000000007
2022-09-28,1,2022-09-29 00:00:00,1768.1624999999995
2022-10-12,1,2022-10-13 00:00:00,1957.25
2022-10-19,1,2022-10-20 00:00:00,885.4875000000001
2022-11-02,1,2022-11-03 00:00:00,1404.4749999999997
2022-11-09,1,2022-11-10 00:00:00,-1140.0374999999997
2022-11-16,1,2022-11-17 00:00:00,1158.6374999999998
2022-11-23,1,2022-11-24 00:00:00,639.2624999999999
2022-11-30,1,2022-12-01 00:00:00,-1120.2
2022-12-07,1,2022-12-08 00:00:00,1628.6375000000007
2022-12-14,1,2022-12-15 00:00:00,1203.925
2022-12-21,1,2022-12-22 00:00:00,-4897.612500000001
2022-12-28,1,2022-12-29 00:00:00,1084.1375
2023-01-04,1,2023-01-05 00:00:00,-3571.7
2023-01-11,1,2023-01-12 00:00:00,1389.8125000000005
2023-01-18,1,2023-01-19 00:00:00,1277.6374999999998
2023-01-25,0,2023-01-25 00:00:00,-3158.8250000000007
2023-02-01,1,2023-02-02 00:00:00,3932.0125000000007
2023-02-08,1,2023-02-09 00:00:00,1774.6000000000001
2023-02-15,1,2023-02-16 00:00:00,-2052.4375
2023-02-22,1,2023-02-23 00:00:00,-876.5125
2023-03-01,1,2023-03-02 00:00:00,1137.9374999999998
2023-03-08,1,2023-03-09 00:00:00,445.04999999999995
2023-03-15,1,2023-03-16 00:00:00,-1727.1624999999995
2023-03-22,1,2023-03-23 00:00:00,1820.375
2023-03-29,0,2023-03-29 00:00:00,3040.55
2023-04-05,1,2023-04-06 00:00:00,-174.5
2023-04-12,1,2023-04-13 00:00:00,606.5124999999998
2023-04-19,1,2023-04-20 00:00:00,626.5500000000001
2023-04-26,1,2023-04-27 00:00:00,242.17499999999995
2023-05-03,1,2023-05-04 00:00:00,712.6749999999998
2023-05-10,1,2023-05-11 00:00:00,765.9250000000002
2023-05-17,1,2023-05-18 00:00:00,66.64999999999986
2023-05-24,1,2023-05-25 00:00:00,665.8374999999999
2023-05-31,1,2023-06-01 00:00:00,728.1375
2023-06-07,1,2023-06-08 00:00:00,56.80000000000001
2023-06-14,1,2023-06-15 00:00:00,515.3625
2023-06-21,1,2023-06-22 00:00:00,624.175
2023-06-28,0,2023-06-28 00:00:00,-3677.012500000001
2023-07-05,1,2023-07-06 00:00:00,972.6875000000002
2023-07-12,1,2023-07-13 00:00:00,767.625
2023-07-19,1,2023-07-20 00:00:00,1062.3874999999998
2023-07-26,1,2023-07-27 00:00:00,1100.6
2023-08-02,1,2023-08-03 00:00:00,-3726.1625
2023-08-09,1,2023-08-10 00:00:00,957.9875
2023-08-16,1,2023-08-17 00:00:00,1013.8750000000001
2023-08-23,1,2023-08-24 00:00:00,119.44999999999993
2023-08-30,1,2023-08-31 00:00:00,-1016.3624999999998
2023-09-06,1,2023-09-07 00:00:00,559.2875
2023-09-13,1,2023-09-14 00:00:00,1295.3125000000002
2023-09-20,1,2023-09-21 00:00:00,-4174.3375
2023-09-27,1,2023-09-28 00:00:00,877.6875
2023-10-04,1,2023-10-05 00:00:00,920.4875
2023-10-11,1,2023-10-12 00:00:00,936.9124999999999
2023-10-18,1,2023-10-19 00:00:00,-373.625
2023-10-25,1,2023-10-26 00:00:00,-7191.075
2023-11-01,1,2023-11-02 00:00:00,1698.9249999999997
2023-11-08,1,2023-11-09 00:00:00,775.4750000000001
2023-11-15,1,2023-11-16 00:00:00,561.475
2023-11-22,1,2023-11-23 00:00:00,-17.725000000000136
2023-11-29,1,2023-11-30 00:00:00,-13.349999999999795
2023-12-06,1,2023-12-07 00:00:00,1084.4375000000002
2023-12-13,1,2023-12-14 00:00:00,732.3624999999995
2023-12-20,1,2023-12-21 00:00:00,-2619.675
2023-12-27,1,2023-12-28 00:00:00,-85.27500000000009
2024-01-03,1,2024-01-04 00:00:00,1303.3374999999999
2024-01-10,1,2024-01-11 00:00:00,332.875
2024-01-17,1,2024-01-18 00:00:00,-2291.1875
2024-01-24,1,2024-01-25 00:00:00,2856.8624999999993
