Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,550.2375000000001
2021-06-16,1,2021-06-17 00:00:00,-950.6749999999995
2021-06-23,1,2021-06-24 00:00:00,649.7375
2021-06-30,1,2021-07-01 00:00:00,335.0375
2021-07-07,1,2021-07-08 00:00:00,620.6374999999998
2021-07-14,1,2021-07-15 00:00:00,207.95000000000002
2021-07-28,1,2021-07-29 00:00:00,12.0625
2021-08-04,1,2021-08-05 00:00:00,421.38750000000005
2021-08-11,1,2021-08-12 00:00:00,406.8750000000001
2021-08-18,0,2021-08-18 00:00:00,3.875
2021-08-25,1,2021-08-26 00:00:00,371.38750000000005
2021-09-01,1,2021-09-02 00:00:00,610.0
2021-09-08,1,2021-09-09 00:00:00,474.13750000000016
2021-09-15,1,2021-09-16 00:00:00,364.96250000000003
2021-09-22,1,2021-09-23 00:00:00,60.67500000000007
2021-09-29,1,2021-09-30 00:00:00,166.85000000000002
2021-10-06,1,2021-10-07 00:00:00,627.6625000000001
2021-10-13,1,2021-10-14 00:00:00,569.1625
2021-10-20,1,2021-10-21 00:00:00,933.8125000000001
2021-10-27,1,2021-10-28 00:00:00,-3099.6999999999994
2021-11-03,0,2021-11-03 00:00:00,670.0374999999997
2021-11-10,1,2021-11-11 00:00:00,-338.4375
2021-11-17,1,2021-11-18 00:00:00,160.27499999999998
2021-11-24,1,2021-11-25 00:00:00,37.125
2021-12-01,1,2021-12-02 00:00:00,-85.7125000000002
2021-12-08,1,2021-12-09 00:00:00,453.95000000000016
2021-12-15,1,2021-12-16 00:00:00,144.17499999999995
2021-12-22,1,2021-12-23 00:00:00,431.1625
2021-12-29,1,2021-12-30 00:00:00,612.4999999999998
2022-01-05,1,2022-01-06 00:00:00,-13.6875
2022-01-12,1,2022-01-13 00:00:00,393.8375
2022-01-19,1,2022-01-20 00:00:00,562.5
2022-02-02,1,2022-02-03 00:00:00,-596.9499999999999
2022-02-09,1,2022-02-10 00:00:00,20.462499999999977
2022-02-16,1,2022-02-17 00:00:00,338.29999999999984
2022-02-23,1,2022-02-24 00:00:00,-8259.525
2022-03-02,1,2022-03-03 00:00:00,1527.6250000000007
2022-03-09,1,2022-03-10 00:00:00,290.5749999999998
2022-03-16,1,2022-03-17 00:00:00,-2963.7875000000004
2022-03-23,1,2022-03-24 00:00:00,1126.0375
2022-03-30,1,2022-03-31 00:00:00,421.3125000000001
2022-04-06,1,2022-04-07 00:00:00,610.1749999999998
2022-04-13,0,2022-04-13 00:00:00,302.4000000000003
2022-04-20,1,2022-04-21 00:00:00,-2215.7625
2022-04-27,1,2022-04-28 00:00:00,1027.575
2022-05-04,1,2022-05-05 00:00:00,471.13750000000005
2022-05-11,1,2022-05-12 00:00:00,-2872.4875
2022-05-18,1,2022-05-19 00:00:00,-5360.587500000001
2022-05-25,1,2022-05-26 00:00:00,882.925
2022-06-01,1,2022-06-02 00:00:00,1078.9250000000002
2022-06-08,1,2022-06-09 00:00:00,773.5875000000001
2022-06-15,1,2022-06-16 00:00:00,1855.4375
2022-06-22,1,2022-06-23 00:00:00,789.3874999999998
2022-06-29,1,2022-06-30 00:00:00,932.7875000000001
2022-07-06,1,2022-07-07 00:00:00,783.5375000000004
2022-07-13,1,2022-07-14 00:00:00,678.0875000000001
2022-07-20,1,2022-07-21 00:00:00,378.775
2022-07-27,1,2022-07-28 00:00:00,-1757.8500000000001
2022-08-03,1,2022-08-04 00:00:00,164.17500000000007
2022-08-10,1,2022-08-11 00:00:00,331.98749999999995
2022-08-17,1,2022-08-18 00:00:00,381.1875
2022-08-24,1,2022-08-25 00:00:00,53.07499999999993
2022-09-07,1,2022-09-08 00:00:00,812.1625000000001
2022-09-14,1,2022-09-15 00:00:00,-182.82499999999982
2022-09-21,1,2022-09-22 00:00:00,1583.937499999999
2022-09-28,1,2022-09-29 00:00:00,291.53750000000014
2022-10-12,1,2022-10-13 00:00:00,1012.0999999999999
2022-10-19,1,2022-10-20 00:00:00,55.92499999999984
2022-11-02,1,2022-11-03 00:00:00,955.1000000000003
2022-11-09,1,2022-11-10 00:00:00,72.21249999999992
2022-11-16,1,2022-11-17 00:00:00,374.6500000000001
2022-11-23,1,2022-11-24 00:00:00,308.52500000000003
2022-11-30,1,2022-12-01 00:00:00,9.775000000000091
2022-12-07,1,2022-12-08 00:00:00,597.275
2022-12-14,1,2022-12-15 00:00:00,712.1500000000001
2022-12-21,1,2022-12-22 00:00:00,866.5750000000003
2022-12-28,1,2022-12-29 00:00:00,127.57500000000005
2023-01-04,1,2023-01-05 00:00:00,-306.69999999999993
2023-01-11,1,2023-01-12 00:00:00,750.1125000000001
2023-01-18,1,2023-01-19 00:00:00,535.95
