DateTime,CE pnl,PE pnl,PnL Combined
2023-08-11 10:15:00,0.0,0.0,0.0
2023-08-11 10:16:00,0.0,25.0,25.0
2023-08-11 10:17:00,-17.0,57.0,40.0
2023-08-11 10:18:00,-105.0,120.0,15.0
2023-08-11 10:19:00,-186.0,174.0,-12.0
2023-08-11 10:20:00,-289.0,266.0,-23.0
2023-08-11 10:21:00,-227.0,202.0,-25.0
2023-08-11 10:22:00,-243.0,221.0,-22.0
2023-08-11 10:23:00,-247.0,223.0,-24.0
2023-08-11 10:24:00,-170.0,155.0,-15.0
2023-08-11 10:25:00,-211.0,186.0,-25.0
2023-08-11 10:26:00,-171.0,164.0,-7.0
2023-08-11 10:27:00,-179.0,139.0,-40.0
2023-08-11 10:28:00,-243.0,189.0,-54.0
2023-08-11 10:29:00,-300.0,264.0,-36.0
2023-08-11 10:30:00,-226.0,268.0,42.0
2023-08-11 10:31:00,-302.0,305.0,3.0
2023-08-11 10:32:00,-216.0,267.0,51.0
2023-08-11 10:33:00,-228.0,304.0,76.0
2023-08-11 10:34:00,-319.0,307.0,-12.0
2023-08-11 10:35:00,-272.0,274.0,2.0
2023-08-11 10:36:00,-140.0,231.0,91.0
2023-08-11 10:37:00,-126.0,187.0,61.0
2023-08-11 10:38:00,17.0,135.0,152.0
2023-08-11 10:39:00,-34.0,155.0,121.0
2023-08-11 10:40:00,-70.0,173.0,103.0
2023-08-11 10:41:00,-160.0,240.0,80.0
2023-08-11 10:42:00,-105.0,196.0,91.0
2023-08-11 10:43:00,-10.0,117.0,107.0
2023-08-11 10:44:00,-161.0,239.0,78.0
2023-08-11 10:45:00,-136.0,274.0,138.0
2023-08-11 10:46:00,-131.0,268.0,137.0
2023-08-11 10:47:00,-213.0,326.0,113.0
2023-08-11 10:48:00,-225.0,330.0,105.0
2023-08-11 10:49:00,-257.0,331.0,74.0
2023-08-11 10:50:00,-291.0,358.0,67.0
2023-08-11 10:51:00,-281.0,336.0,55.0
2023-08-11 10:52:00,-183.0,290.0,107.0
2023-08-11 10:53:00,30.0,179.0,209.0
2023-08-11 10:54:00,-37.0,178.0,141.0
2023-08-11 10:55:00,-31.0,207.0,176.0
2023-08-11 10:56:00,-33.0,160.0,127.0
2023-08-11 10:57:00,-51.0,169.0,118.0
2023-08-11 10:58:00,-18.0,175.0,157.0
2023-08-11 10:59:00,103.0,77.0,180.0
2023-08-11 11:00:00,141.0,53.0,194.0
2023-08-11 11:01:00,586.0,-327.0,259.0
2023-08-11 11:02:00,650.0,-299.0,351.0
2023-08-11 11:03:00,685.0,-315.0,370.0
2023-08-11 11:04:00,625.0,-225.0,400.0
2023-08-11 11:05:00,597.0,-189.0,408.0
