Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,965.8699999999995
2024-07-12,0.25,2024-07-12 00:00:00,-2884.009999999999
2024-07-19,0.25,2024-07-19 00:00:00,-3049.4400000000005
2024-07-26,0.25,2024-07-26 00:00:00,-1059.0100000000007
2024-08-02,0.25,2024-08-02 00:00:00,1543.385000000001
2024-08-09,0.25,2024-08-09 00:00:00,1181.3499999999997
2024-08-16,0.25,2024-08-16 00:00:00,-1025.4550000000004
2024-08-23,0.25,2024-08-23 00:00:00,1058.66
2024-08-30,0.25,2024-08-30 00:00:00,1071.0
2024-09-06,0.25,2024-09-06 00:00:00,1.9799999999995634
2024-09-13,0.25,2024-09-13 00:00:00,1293.5900000000001
2024-09-20,0.25,2024-09-20 00:00:00,-586.5250000000005
2024-09-27,0.25,2024-09-27 00:00:00,960.9850000000004
2024-10-04,0.25,2024-10-04 00:00:00,-1000.0200000000007
2024-10-11,0.25,2024-10-11 00:00:00,969.2900000000002
2024-10-18,0.25,2024-10-18 00:00:00,-1144.2700000000011
2024-10-25,0.25,2024-10-25 00:00:00,-738.405
2024-10-31,0.25,2024-10-31 00:00:00,819.5000000000002
2024-11-08,0.25,2024-11-08 00:00:00,1637.7999999999993
2024-11-14,0.25,2024-11-14 00:00:00,1557.2
2024-11-22,0.25,2024-11-22 00:00:00,-517.235000000002
2024-11-29,0.25,2024-11-29 00:00:00,2700.795
2024-12-06,0.25,2024-12-06 00:00:00,2682.535
2024-12-13,0.25,2024-12-13 00:00:00,-1122.5699999999997
2024-12-20,0.25,2024-12-20 00:00:00,-1393.0950000000012
2024-12-27,0.25,2024-12-27 00:00:00,1762.8499999999995
2025-01-07,0.25,2025-01-07 00:00:00,-1048.3900000000003
2025-01-14,0.25,2025-01-14 00:00:00,957.4650000000004
2025-01-21,0.25,2025-01-21 00:00:00,-1315.6850000000004
2025-01-28,0.25,2025-01-28 00:00:00,-3320.195000000001
2025-02-04,0.25,2025-02-04 00:00:00,-4574.210000000001
2025-02-11,0.25,2025-02-11 00:00:00,1727.4450000000002
2025-02-18,0.25,2025-02-18 00:00:00,2136.574999999999
2025-02-25,0.25,2025-02-25 00:00:00,880.2350000000001
2025-03-04,0.25,2025-03-04 00:00:00,1105.8449999999993
2025-03-11,0.25,2025-03-11 00:00:00,837.5050000000003
2025-03-18,0.25,2025-03-18 00:00:00,-695.3749999999991
2025-03-25,0.25,2025-03-25 00:00:00,1963.0549999999996
2025-04-01,0.25,2025-04-01 00:00:00,-2784.9449999999997
2025-04-08,0.25,2025-04-08 00:00:00,-2195.8500000000004
2025-04-15,0.25,2025-04-15 00:00:00,1178.2849999999994
2025-04-22,0.25,2025-04-22 00:00:00,834.0199999999998
2025-04-29,0.25,2025-04-29 00:00:00,-638.7149999999998
2025-05-06,0.25,2025-05-06 00:00:00,368.7
2025-05-13,0.25,2025-05-13 00:00:00,97.84999999999991
2025-05-20,0.25,2025-05-20 00:00:00,-668.6300000000001
2025-05-27,0.25,2025-05-27 00:00:00,-1959.335000000001
2025-06-03,0.25,2025-06-03 00:00:00,3828.9749999999985
2025-06-10,0.25,2025-06-10 00:00:00,1342.3000000000006
2025-06-17,0.25,2025-06-17 00:00:00,1018.7049999999999
2025-06-24,0.25,2025-06-24 00:00:00,-2638.7799999999984
2025-07-01,0.25,2025-07-01 00:00:00,1157.625
2025-07-08,0.25,2025-07-08 00:00:00,749.6949999999999
2025-07-15,0.25,2025-07-15 00:00:00,-678.9949999999999
2025-07-22,0.25,2025-07-22 00:00:00,590.3100000000001
2025-07-29,0.25,2025-07-29 00:00:00,816.9499999999998
2025-08-05,0.25,2025-08-05 00:00:00,759.9100000000001
2025-08-12,0.25,2025-08-12 00:00:00,-734.0999999999997
2025-08-19,0.25,2025-08-19 00:00:00,728.365
2025-08-26,0.25,2025-08-26 00:00:00,799.795
