Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,2604.1749999999997
2024-07-12,0.25,2024-07-12 00:00:00,-5080.07
2024-07-19,0.25,2024-07-19 00:00:00,-748.4500000000003
2024-07-26,0.25,2024-07-26 00:00:00,-1779.9150000000013
2024-08-02,0.25,2024-08-02 00:00:00,3411.575
2024-08-09,0.25,2024-08-09 00:00:00,2869.345
2024-08-16,0.25,2024-08-16 00:00:00,-769.6550000000007
2024-08-23,0.25,2024-08-23 00:00:00,2700.5249999999996
2024-08-30,0.25,2024-08-30 00:00:00,2530.71
2024-09-06,0.25,2024-09-06 00:00:00,-971.3450000000003
2024-09-13,0.25,2024-09-13 00:00:00,3038.945
2024-09-20,0.25,2024-09-20 00:00:00,-1492.6050000000005
2024-09-27,0.25,2024-09-27 00:00:00,1936.1999999999998
2024-10-04,0.25,2024-10-04 00:00:00,-3617.5850000000005
2024-10-11,0.25,2024-10-11 00:00:00,2351.7750000000005
2024-10-18,0.25,2024-10-18 00:00:00,-728.1649999999995
2024-10-25,0.25,2024-10-25 00:00:00,-335.71500000000015
2024-10-31,0.25,2024-10-31 00:00:00,2045.3549999999998
2024-11-08,0.25,2024-11-08 00:00:00,4351.889999999999
2024-11-14,0.25,2024-11-14 00:00:00,-476.1300000000001
2024-11-22,0.25,2024-11-22 00:00:00,-6994.989999999998
2024-11-29,0.25,2024-11-29 00:00:00,6476.92
2024-12-06,0.25,2024-12-06 00:00:00,4506.090000000001
2024-12-13,0.25,2024-12-13 00:00:00,-6583.350000000001
2024-12-20,0.25,2024-12-20 00:00:00,-6358.995000000002
2024-12-27,0.25,2024-12-27 00:00:00,3919.41
2025-01-07,0.25,2025-01-07 00:00:00,-743.8050000000007
2025-01-14,0.25,2025-01-14 00:00:00,1851.855
2025-01-21,0.25,2025-01-21 00:00:00,-1782.6200000000008
2025-01-28,0.25,2025-01-28 00:00:00,-970.8000000000002
2025-02-04,0.25,2025-02-04 00:00:00,-7462.404999999997
2025-02-11,0.25,2025-02-11 00:00:00,-375.3599999999997
2025-02-18,0.25,2025-02-18 00:00:00,5158.865
2025-02-25,0.25,2025-02-25 00:00:00,-801.5350000000008
2025-03-04,0.25,2025-03-04 00:00:00,2566.1999999999994
2025-03-11,0.25,2025-03-11 00:00:00,-180.14499999999998
2025-03-18,0.25,2025-03-18 00:00:00,-1001.7850000000008
2025-03-25,0.25,2025-03-25 00:00:00,-1448.9800000000005
2025-04-01,0.25,2025-04-01 00:00:00,-4709.655000000001
2025-04-08,0.25,2025-04-08 00:00:00,-4368.18
2025-04-15,0.25,2025-04-15 00:00:00,2529.1249999999995
2025-04-22,0.25,2025-04-22 00:00:00,232.08499999999958
2025-04-29,0.25,2025-04-29 00:00:00,-398.94499999999994
2025-05-06,0.25,2025-05-06 00:00:00,711.91
2025-05-13,0.25,2025-05-13 00:00:00,-6949.9349999999995
2025-05-20,0.25,2025-05-20 00:00:00,-10.160000000000082
2025-05-27,0.25,2025-05-27 00:00:00,-1529.9100000000017
2025-06-03,0.25,2025-06-03 00:00:00,10299.05
2025-06-10,0.25,2025-06-10 00:00:00,3145.1850000000004
2025-06-17,0.25,2025-06-17 00:00:00,2347.295
2025-06-24,0.25,2025-06-24 00:00:00,-3885.715
2025-07-01,0.25,2025-07-01 00:00:00,2871.905
2025-07-08,0.25,2025-07-08 00:00:00,1918.8999999999999
2025-07-15,0.25,2025-07-15 00:00:00,-1747.1649999999995
2025-07-22,0.25,2025-07-22 00:00:00,1451.035
2025-07-29,0.25,2025-07-29 00:00:00,-469.1100000000001
2025-08-05,0.25,2025-08-05 00:00:00,263.1699999999996
2025-08-12,0.25,2025-08-12 00:00:00,-2909.6099999999997
2025-08-19,0.25,2025-08-19 00:00:00,33.85499999999979
2025-08-26,0.25,2025-08-26 00:00:00,2095.87
