Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,5466.494999999999
2024-07-12,0.25,2024-07-12 00:00:00,-5260.869999999997
2024-07-19,0.25,2024-07-19 00:00:00,-6465.854999999999
2024-07-26,0.25,2024-07-26 00:00:00,-12194.32
2024-08-02,0.25,2024-08-02 00:00:00,7698.885000000002
2024-08-09,0.25,2024-08-09 00:00:00,5603.010000000002
2024-08-16,0.25,2024-08-16 00:00:00,-244.43000000000302
2024-08-23,0.25,2024-08-23 00:00:00,5702.73
2024-08-30,0.25,2024-08-30 00:00:00,5502.270000000001
2024-09-06,0.25,2024-09-06 00:00:00,-10551.61
2024-09-13,0.25,2024-09-13 00:00:00,6175.935000000001
2024-09-20,0.25,2024-09-20 00:00:00,-7937.325000000003
2024-09-27,0.25,2024-09-27 00:00:00,4126.77
2024-10-04,0.25,2024-10-04 00:00:00,-6771.304999999998
2024-10-11,0.25,2024-10-11 00:00:00,4490.0250000000015
2024-10-18,0.25,2024-10-18 00:00:00,-13067.779999999995
2024-10-25,0.25,2024-10-25 00:00:00,-9435.274999999998
2024-10-31,0.25,2024-10-31 00:00:00,4076.1300000000024
2024-11-08,0.25,2024-11-08 00:00:00,8222.16
2024-11-14,0.25,2024-11-14 00:00:00,6903.134999999999
2024-11-22,0.25,2024-11-22 00:00:00,-11930.955
2024-11-29,0.25,2024-11-29 00:00:00,10735.124999999998
2024-12-06,0.25,2024-12-06 00:00:00,7830.930000000004
2024-12-13,0.25,2024-12-13 00:00:00,-20946.48
2024-12-20,0.25,2024-12-20 00:00:00,-29231.325
2024-12-27,0.25,2024-12-27 00:00:00,6737.385
2025-01-07,0.25,2025-01-07 00:00:00,4817.67
2025-01-14,0.25,2025-01-14 00:00:00,3680.7900000000013
2025-01-21,0.25,2025-01-21 00:00:00,-10741.820000000002
2025-01-28,0.25,2025-01-28 00:00:00,-5110.645
2025-02-04,0.25,2025-02-04 00:00:00,-11558.099999999997
2025-02-11,0.25,2025-02-11 00:00:00,7775.985
2025-02-18,0.25,2025-02-18 00:00:00,8861.039999999997
2025-02-25,0.25,2025-02-25 00:00:00,3756.78
2025-03-04,0.25,2025-03-04 00:00:00,5234.924999999998
2025-03-11,0.25,2025-03-11 00:00:00,4645.32
2025-03-18,0.25,2025-03-18 00:00:00,-8345.220000000001
2025-03-25,0.25,2025-03-25 00:00:00,7820.6849999999995
2025-04-01,0.25,2025-04-01 00:00:00,-18743.055
2025-04-08,0.25,2025-04-08 00:00:00,-9343.244999999999
2025-04-15,0.25,2025-04-15 00:00:00,5472.929999999999
2025-04-22,0.25,2025-04-22 00:00:00,3456.165
2025-04-29,0.25,2025-04-29 00:00:00,-1529.81
2025-05-06,0.25,2025-05-06 00:00:00,1464.975
2025-05-13,0.25,2025-05-13 00:00:00,2052.09
2025-05-20,0.25,2025-05-20 00:00:00,-10223.125
2025-05-27,0.25,2025-05-27 00:00:00,-1751.455
2025-06-03,0.25,2025-06-03 00:00:00,14980.23
2025-06-10,0.25,2025-06-10 00:00:00,6349.620000000001
2025-06-17,0.25,2025-06-17 00:00:00,4671.69
2025-06-24,0.25,2025-06-24 00:00:00,-8727.43
2025-07-01,0.25,2025-07-01 00:00:00,5849.355
2025-07-08,0.25,2025-07-08 00:00:00,4302.584999999999
2025-07-15,0.25,2025-07-15 00:00:00,-1797.800000000002
2025-07-22,0.25,2025-07-22 00:00:00,3305.67
2025-07-29,0.25,2025-07-29 00:00:00,4950.6900000000005
2025-08-05,0.25,2025-08-05 00:00:00,4926.87
2025-08-12,0.25,2025-08-12 00:00:00,-2087.790000000002
2025-08-19,0.25,2025-08-19 00:00:00,4303.664999999999
2025-08-26,0.25,2025-08-26 00:00:00,4742.01
