Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,9366.299999999997
2024-07-12,0.25,2024-07-12 00:00:00,-15205.64
2024-07-19,0.25,2024-07-19 00:00:00,-4187.619999999997
2024-07-26,0.25,2024-07-26 00:00:00,-19279.050000000003
2024-08-02,0.25,2024-08-02 00:00:00,13860.539999999999
2024-08-09,0.25,2024-08-09 00:00:00,10164.38
2024-08-16,0.25,2024-08-16 00:00:00,1451.3499999999985
2024-08-23,0.25,2024-08-23 00:00:00,9594.14
2024-08-30,0.25,2024-08-30 00:00:00,8983.68
2024-09-06,0.25,2024-09-06 00:00:00,-12313.830000000002
2024-09-13,0.25,2024-09-13 00:00:00,10842.78
2024-09-20,0.25,2024-09-20 00:00:00,-10807.310000000001
2024-09-27,0.25,2024-09-27 00:00:00,7667.92
2024-10-04,0.25,2024-10-04 00:00:00,-10183.9
2024-10-11,0.25,2024-10-11 00:00:00,8389.020000000002
2024-10-18,0.25,2024-10-18 00:00:00,-12314.749999999993
2024-10-25,0.25,2024-10-25 00:00:00,-9110.769999999999
2024-10-31,0.25,2024-10-31 00:00:00,7361.300000000001
2024-11-08,0.25,2024-11-08 00:00:00,15528.96
2024-11-14,0.25,2024-11-14 00:00:00,1340.6100000000006
2024-11-22,0.25,2024-11-22 00:00:00,-34440.93
2024-11-29,0.25,2024-11-29 00:00:00,23508.04
2024-12-06,0.25,2024-12-06 00:00:00,16287.160000000003
2024-12-13,0.25,2024-12-13 00:00:00,-33251.899999999994
2024-12-20,0.25,2024-12-20 00:00:00,-25180.45
2024-12-27,0.25,2024-12-27 00:00:00,13762.679999999997
2025-01-07,0.25,2025-01-07 00:00:00,-13.899999999999636
2025-01-14,0.25,2025-01-14 00:00:00,6567.1
2025-01-21,0.25,2025-01-21 00:00:00,-20183.600000000002
2025-01-28,0.25,2025-01-28 00:00:00,559.7900000000009
2025-02-04,0.25,2025-02-04 00:00:00,-29129.489999999987
2025-02-11,0.25,2025-02-11 00:00:00,15026.2
2025-02-18,0.25,2025-02-18 00:00:00,18441.739999999998
2025-02-25,0.25,2025-02-25 00:00:00,-799.3099999999995
2025-03-04,0.25,2025-03-04 00:00:00,9242.799999999997
2025-03-11,0.25,2025-03-11 00:00:00,1010.5599999999995
2025-03-18,0.25,2025-03-18 00:00:00,-5680.709999999999
2025-03-25,0.25,2025-03-25 00:00:00,-1019.630000000001
2025-04-01,0.25,2025-04-01 00:00:00,-29267.880000000005
2025-04-08,0.25,2025-04-08 00:00:00,-10452.210000000001
2025-04-15,0.25,2025-04-15 00:00:00,9385.259999999998
2025-04-22,0.25,2025-04-22 00:00:00,2107.0099999999984
2025-04-29,0.25,2025-04-29 00:00:00,21.229999999999563
2025-05-06,0.25,2025-05-06 00:00:00,2585.04
2025-05-13,0.25,2025-05-13 00:00:00,-18398.659999999996
2025-05-20,0.25,2025-05-20 00:00:00,-7060.139999999999
2025-05-27,0.25,2025-05-27 00:00:00,475.65999999999985
2025-06-03,0.25,2025-06-03 00:00:00,35596.759999999995
2025-06-10,0.25,2025-06-10 00:00:00,11106.14
2025-06-17,0.25,2025-06-17 00:00:00,8488.26
2025-06-24,0.25,2025-06-24 00:00:00,-16874.04
2025-07-01,0.25,2025-07-01 00:00:00,10158.460000000001
2025-07-08,0.25,2025-07-08 00:00:00,6932.24
2025-07-15,0.25,2025-07-15 00:00:00,-3933.409999999998
2025-07-22,0.25,2025-07-22 00:00:00,5181.9800000000005
2025-07-29,0.25,2025-07-29 00:00:00,2464.54
2025-08-05,0.25,2025-08-05 00:00:00,2439.41
2025-08-12,0.25,2025-08-12 00:00:00,-8896.289999999997
2025-08-19,0.25,2025-08-19 00:00:00,1586.79
2025-08-26,0.25,2025-08-26 00:00:00,7482.5599999999995
