Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,398.9250000000004
2021-06-17,0,2021-06-17 00:00:00,361.0312500000002
2021-06-24,0,2021-06-24 00:00:00,-699.6562499999991
2021-07-01,0,2021-07-01 00:00:00,210.43124999999964
2021-07-08,0,2021-07-08 00:00:00,482.96249999999964
2021-07-15,0,2021-07-15 00:00:00,-724.0124999999998
2021-07-22,0,2021-07-22 00:00:00,586.9124999999999
2021-07-29,0,2021-07-29 00:00:00,-40.200000000000045
2021-08-05,0,2021-08-05 00:00:00,551.7375
2021-08-12,0,2021-08-12 00:00:00,291.22500000000036
2021-08-26,0,2021-08-26 00:00:00,-708.2624999999996
2021-09-02,0,2021-09-02 00:00:00,475.6874999999998
2021-09-09,0,2021-09-09 00:00:00,543.0187500000002
2021-09-16,0,2021-09-16 00:00:00,-824.4562500000002
2021-09-23,0,2021-09-23 00:00:00,871.2562500000004
2021-09-30,0,2021-09-30 00:00:00,-102.75
2021-10-07,0,2021-10-07 00:00:00,-587.0250000000001
2021-10-14,0,2021-10-14 00:00:00,-381.73124999999936
2021-10-21,0,2021-10-21 00:00:00,-1371.775
2021-10-28,0,2021-10-28 00:00:00,1577.60625
2021-11-11,0,2021-11-11 00:00:00,590.79375
2021-11-18,0,2021-11-18 00:00:00,1700.2687500000002
2021-11-25,0,2021-11-25 00:00:00,507.22500000000014
2021-12-02,0,2021-12-02 00:00:00,513.6937499999999
2021-12-09,0,2021-12-09 00:00:00,-707.9625000000001
2021-12-16,0,2021-12-16 00:00:00,683.9999999999998
2021-12-23,0,2021-12-23 00:00:00,351.8249999999998
2021-12-30,0,2021-12-30 00:00:00,-604.162499999999
2022-01-06,0,2022-01-06 00:00:00,744.5062499999999
2022-01-13,0,2022-01-13 00:00:00,284.4187499999998
2022-01-20,0,2022-01-20 00:00:00,1639.9499999999996
2022-01-27,0,2022-01-27 00:00:00,-480.7687499999997
2022-02-03,0,2022-02-03 00:00:00,-555.5437500000003
2022-02-10,0,2022-02-10 00:00:00,162.9375
2022-02-17,0,2022-02-17 00:00:00,273.60000000000036
2022-02-24,0,2022-02-24 00:00:00,-729.0
2022-03-03,0,2022-03-03 00:00:00,28.706250000000637
2022-03-10,0,2022-03-10 00:00:00,-53.29374999999891
2022-03-17,0,2022-03-17 00:00:00,180.63750000000073
2022-03-24,0,2022-03-24 00:00:00,457.44375000000014
2022-03-31,0,2022-03-31 00:00:00,-633.8250000000003
2022-04-07,0,2022-04-07 00:00:00,1034.8875000000003
2022-04-21,0,2022-04-21 00:00:00,567.7312499999998
2022-04-28,0,2022-04-28 00:00:00,565.3500000000004
2022-05-05,0,2022-05-05 00:00:00,487.2750000000001
2022-05-12,0,2022-05-12 00:00:00,445.0312500000009
2022-05-19,0,2022-05-19 00:00:00,559.5
2022-05-26,0,2022-05-26 00:00:00,390.9187500000003
2022-06-02,0,2022-06-02 00:00:00,-55.33124999999973
2022-06-09,0,2022-06-09 00:00:00,-1110.99375
2022-06-16,0,2022-06-16 00:00:00,-166.15000000000055
2022-06-23,0,2022-06-23 00:00:00,-1117.7687499999997
2022-06-30,0,2022-06-30 00:00:00,-312.4125000000008
2022-07-07,0,2022-07-07 00:00:00,-181.42500000000018
2022-07-14,0,2022-07-14 00:00:00,-710.7562499999999
2022-07-21,0,2022-07-21 00:00:00,-476.19374999999945
2022-07-28,0,2022-07-28 00:00:00,522.3
2022-08-04,0,2022-08-04 00:00:00,-836.9000000000001
2022-08-11,0,2022-08-11 00:00:00,513.8812499999992
2022-08-18,0,2022-08-18 00:00:00,-1059.0750000000003
2022-08-25,0,2022-08-25 00:00:00,-364.1374999999998
2022-09-01,0,2022-09-01 00:00:00,1071.7312499999998
2022-09-08,0,2022-09-08 00:00:00,-425.15624999999955
2022-09-15,0,2022-09-15 00:00:00,-372.3187499999999
