Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,1266.6374999999996
2021-06-14,3,2021-06-17 00:00:00,1020.5624999999998
2021-06-21,3,2021-06-24 00:00:00,1057.95
2021-06-28,3,2021-07-01 00:00:00,1352.6812500000003
2021-07-05,3,2021-07-08 00:00:00,446.4749999999999
2021-07-12,3,2021-07-15 00:00:00,-368.1124999999997
2021-07-19,3,2021-07-22 00:00:00,462.9124999999997
2021-07-26,3,2021-07-29 00:00:00,318.08749999999964
2021-08-02,3,2021-08-05 00:00:00,-12913.499999999998
2021-08-09,3,2021-08-12 00:00:00,1342.4250000000004
2021-08-16,2,2021-08-18 00:00:00,1084.2749999999999
2021-08-23,3,2021-08-26 00:00:00,670.4812499999998
2021-08-30,3,2021-09-02 00:00:00,-3468.900000000001
2021-09-06,3,2021-09-09 00:00:00,1127.9625000000003
2021-09-13,3,2021-09-16 00:00:00,1165.0124999999998
2021-09-20,3,2021-09-23 00:00:00,2166.20625
2021-09-27,3,2021-09-30 00:00:00,470.94375000000014
2021-10-04,3,2021-10-07 00:00:00,1543.8562499999998
2021-10-11,3,2021-10-14 00:00:00,1521.5249999999996
2021-10-18,3,2021-10-21 00:00:00,108.71250000000009
2021-10-25,3,2021-10-28 00:00:00,2456.5125
2021-11-01,2,2021-11-03 00:00:00,2274.13125
2021-11-08,3,2021-11-11 00:00:00,1731.0562499999999
2021-11-15,3,2021-11-18 00:00:00,-1326.3812499999995
2021-11-22,3,2021-11-25 00:00:00,2063.4562499999993
2021-11-29,3,2021-12-02 00:00:00,1760.8437500000007
2021-12-06,3,2021-12-09 00:00:00,-5669.756250000001
2021-12-13,3,2021-12-16 00:00:00,2887.8187500000004
2021-12-20,3,2021-12-23 00:00:00,-6702.450000000001
2021-12-27,3,2021-12-30 00:00:00,2418.4875
2022-01-03,3,2022-01-06 00:00:00,1054.8999999999999
2022-01-10,3,2022-01-13 00:00:00,1537.63125
2022-01-17,3,2022-01-20 00:00:00,-11390.85625
2022-01-24,3,2022-01-27 00:00:00,3724.8375000000005
2022-01-31,3,2022-02-03 00:00:00,6735.61875
2022-02-07,3,2022-02-10 00:00:00,2522.6062500000007
2022-02-14,3,2022-02-17 00:00:00,866.3062499999987
2022-02-21,3,2022-02-24 00:00:00,-22107.26875
2022-02-28,3,2022-03-03 00:00:00,4376.718750000002
2022-03-07,3,2022-03-10 00:00:00,-9744.593750000004
2022-03-14,3,2022-03-17 00:00:00,5246.718749999999
2022-03-21,3,2022-03-24 00:00:00,3872.1375000000007
2022-03-28,3,2022-03-31 00:00:00,1882.2562499999995
2022-04-04,3,2022-04-07 00:00:00,1561.74375
2022-04-11,2,2022-04-13 00:00:00,700.6749999999997
2022-04-18,3,2022-04-21 00:00:00,2435.7750000000005
2022-04-25,3,2022-04-28 00:00:00,2803.3499999999995
2022-05-02,3,2022-05-05 00:00:00,2274.6375
2022-05-09,3,2022-05-12 00:00:00,3093.618749999999
2022-05-16,3,2022-05-19 00:00:00,1965.906250000001
2022-05-23,3,2022-05-26 00:00:00,3120.9374999999995
2022-05-30,3,2022-06-02 00:00:00,2500.8749999999995
2022-06-06,3,2022-06-09 00:00:00,2412.618749999999
2022-06-13,3,2022-06-16 00:00:00,2725.2937499999994
2022-06-27,3,2022-06-30 00:00:00,2392.406250000001
2022-07-04,3,2022-07-07 00:00:00,1435.2437500000012
2022-07-11,3,2022-07-14 00:00:00,982.7062499999997
2022-07-18,3,2022-07-21 00:00:00,-48.45625000000018
2022-07-25,3,2022-07-28 00:00:00,707.1937499999997
2022-08-01,3,2022-08-04 00:00:00,1360.9687499999995
2022-08-08,3,2022-08-11 00:00:00,1437.2625000000003
2022-08-22,3,2022-08-25 00:00:00,1301.26875
2022-08-29,3,2022-09-01 00:00:00,1182.1374999999998
2022-09-05,3,2022-09-08 00:00:00,1622.925
2022-09-12,3,2022-09-15 00:00:00,1782.8249999999998
2022-09-19,3,2022-09-22 00:00:00,1478.9437500000004
2022-09-26,3,2022-09-29 00:00:00,3028.575
2022-10-03,3,2022-10-06 00:00:00,975.3062499999999
2022-10-10,3,2022-10-13 00:00:00,2146.3875
2022-10-17,3,2022-10-20 00:00:00,1404.5687500000001
2022-10-31,3,2022-11-03 00:00:00,1032.19375
2022-11-07,3,2022-11-10 00:00:00,1048.40625
2022-11-14,3,2022-11-17 00:00:00,977.9624999999999
2022-11-21,3,2022-11-24 00:00:00,932.7937499999999
2022-11-28,3,2022-12-01 00:00:00,-68.71874999999977
2022-12-05,3,2022-12-08 00:00:00,1188.7312499999998
2022-12-12,3,2022-12-15 00:00:00,607.3937499999997
2022-12-19,3,2022-12-22 00:00:00,306.6250000000002
2022-12-26,3,2022-12-29 00:00:00,1793.5500000000002
2023-01-02,3,2023-01-05 00:00:00,1284.5062500000004
2023-01-09,3,2023-01-12 00:00:00,535.9562500000001
2023-01-16,3,2023-01-19 00:00:00,569.0125000000003
2023-01-23,2,2023-01-25 00:00:00,-1783.6000000000001
2023-01-30,3,2023-02-02 00:00:00,1964.0125000000003
2023-02-06,3,2023-02-09 00:00:00,1712.75625
2023-02-13,3,2023-02-16 00:00:00,-767.7625000000003
2023-02-20,3,2023-02-23 00:00:00,1049.8625
2023-02-27,3,2023-03-02 00:00:00,1618.8562499999998
2023-03-06,3,2023-03-09 00:00:00,1.1874999999998863
2023-03-13,3,2023-03-16 00:00:00,2228.9625
2023-03-20,3,2023-03-23 00:00:00,1451.6999999999998
2023-03-27,2,2023-03-29 00:00:00,1281.225
2023-04-03,3,2023-04-06 00:00:00,-157.34375
2023-04-10,3,2023-04-13 00:00:00,315.36249999999995
2023-04-17,3,2023-04-20 00:00:00,833.3437499999999
2023-04-24,3,2023-04-27 00:00:00,594.6750000000002
2023-05-08,3,2023-05-11 00:00:00,895.8750000000002
2023-05-15,3,2023-05-18 00:00:00,-2288.275
2023-05-22,3,2023-05-25 00:00:00,874.3312499999997
2023-05-29,3,2023-06-01 00:00:00,1062.7125
2023-06-05,3,2023-06-08 00:00:00,1227.88125
2023-06-12,3,2023-06-15 00:00:00,693.01875
2023-06-19,3,2023-06-22 00:00:00,788.23125
2023-06-26,3,2023-06-29 00:00:00,109.76249999999959
2023-07-03,3,2023-07-06 00:00:00,954.73125
2023-07-10,3,2023-07-13 00:00:00,966.9375000000002
2023-07-17,3,2023-07-20 00:00:00,-2760.025000000001
2023-07-24,3,2023-07-27 00:00:00,1653.375
2023-07-31,3,2023-08-03 00:00:00,-3946.175
2023-08-07,3,2023-08-10 00:00:00,929.6812500000003
2023-08-14,3,2023-08-17 00:00:00,818.1937499999999
2023-08-21,3,2023-08-24 00:00:00,861.0750000000003
2023-08-28,3,2023-08-31 00:00:00,890.1937500000004
2023-09-04,3,2023-09-07 00:00:00,633.4875
2023-09-11,3,2023-09-14 00:00:00,562.6062499999999
2023-09-18,3,2023-09-21 00:00:00,-7834.600000000001
2023-09-25,3,2023-09-28 00:00:00,1046.1187499999996
2023-10-09,3,2023-10-12 00:00:00,379.13124999999945
2023-10-16,3,2023-10-19 00:00:00,1178.4000000000003
2023-10-23,3,2023-10-26 00:00:00,-18397.881250000002
2023-10-30,3,2023-11-02 00:00:00,1909.7250000000001
2023-11-06,3,2023-11-09 00:00:00,765.3000000000003
2023-11-13,3,2023-11-16 00:00:00,-7793.043750000002
2023-11-20,3,2023-11-23 00:00:00,1188.8062499999999
2023-12-04,3,2023-12-07 00:00:00,785.65625
2023-12-11,3,2023-12-14 00:00:00,1166.79375
2023-12-18,3,2023-12-21 00:00:00,2114.45625
2024-01-01,3,2024-01-04 00:00:00,836.7187500000002
2024-01-08,3,2024-01-11 00:00:00,1721.38125
2024-01-15,3,2024-01-18 00:00:00,-11486.3375
2024-01-29,3,2024-02-01 00:00:00,5434.3875
