Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,275.23124999999993
2021-06-14,3,2021-06-17 00:00:00,222.27499999999998
2021-06-21,3,2021-06-24 00:00:00,376.04999999999995
2021-06-28,3,2021-07-01 00:00:00,247.01875000000007
2021-07-05,3,2021-07-08 00:00:00,176.63750000000005
2021-07-12,3,2021-07-15 00:00:00,-512.8687500000001
2021-07-19,3,2021-07-22 00:00:00,367.34375
2021-07-26,3,2021-07-29 00:00:00,-492.01875
2021-08-02,3,2021-08-05 00:00:00,-54.043749999999875
2021-08-09,3,2021-08-12 00:00:00,294.6375
2021-08-16,2,2021-08-18 00:00:00,248.43124999999998
2021-08-23,3,2021-08-26 00:00:00,-301.83125000000007
2021-08-30,3,2021-09-02 00:00:00,-82.58749999999992
2021-09-06,3,2021-09-09 00:00:00,246.90624999999994
2021-09-13,3,2021-09-16 00:00:00,187.52499999999998
2021-09-20,3,2021-09-23 00:00:00,411.91875000000005
2021-09-27,3,2021-09-30 00:00:00,-404.3374999999999
2021-10-04,3,2021-10-07 00:00:00,343.99375
2021-10-11,3,2021-10-14 00:00:00,332.9687500000001
2021-10-18,3,2021-10-21 00:00:00,-896.7312499999999
2021-10-25,3,2021-10-28 00:00:00,488.18125
2021-11-01,2,2021-11-03 00:00:00,437.11249999999995
2021-11-08,3,2021-11-11 00:00:00,365.4437500000001
2021-11-15,3,2021-11-18 00:00:00,-889.1875
2021-11-22,3,2021-11-25 00:00:00,485.89375000000024
2021-11-29,3,2021-12-02 00:00:00,-99.64999999999986
2021-12-06,3,2021-12-09 00:00:00,-414.39375000000007
2021-12-13,3,2021-12-16 00:00:00,494.88749999999993
2021-12-20,3,2021-12-23 00:00:00,-365.39374999999995
2021-12-27,3,2021-12-30 00:00:00,476.9312499999999
2022-01-03,3,2022-01-06 00:00:00,-505.1187500000001
2022-01-10,3,2022-01-13 00:00:00,277.20000000000005
2022-01-17,3,2022-01-20 00:00:00,-415.53125
2022-01-24,3,2022-01-27 00:00:00,787.2375000000003
2022-01-31,3,2022-02-03 00:00:00,1245.89375
2022-02-07,3,2022-02-10 00:00:00,476.96874999999994
