Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,484.07500000000005
2021-06-14,3,2021-06-17 00:00:00,401.77500000000003
2021-06-21,3,2021-06-24 00:00:00,656.6375
2021-06-28,3,2021-07-01 00:00:00,506.16874999999993
2021-07-05,3,2021-07-08 00:00:00,296.2625
2021-07-12,3,2021-07-15 00:00:00,-384.4625000000001
2021-07-19,3,2021-07-22 00:00:00,529.1375000000002
2021-07-26,3,2021-07-29 00:00:00,-750.7874999999999
2021-08-02,3,2021-08-05 00:00:00,-213.7249999999999
2021-08-09,3,2021-08-12 00:00:00,499.94999999999993
2021-08-16,2,2021-08-18 00:00:00,425.8125
2021-08-23,3,2021-08-26 00:00:00,-348.69375
2021-08-30,3,2021-09-02 00:00:00,-116.0
2021-09-06,3,2021-09-09 00:00:00,464.6375
2021-09-13,3,2021-09-16 00:00:00,-447.7125
2021-09-20,3,2021-09-23 00:00:00,816.48125
2021-09-27,3,2021-09-30 00:00:00,-674.0187500000001
2021-10-04,3,2021-10-07 00:00:00,584.76875
2021-10-11,3,2021-10-14 00:00:00,-34.71249999999998
2021-10-18,3,2021-10-21 00:00:00,-813.15
2021-10-25,3,2021-10-28 00:00:00,955.1875000000001
2021-11-01,2,2021-11-03 00:00:00,855.25625
2021-11-08,3,2021-11-11 00:00:00,693.4437499999999
2021-11-15,3,2021-11-18 00:00:00,-954.5562500000003
2021-11-22,3,2021-11-25 00:00:00,782.23125
2021-11-29,3,2021-12-02 00:00:00,-118.36875000000009
2021-12-06,3,2021-12-09 00:00:00,-626.1562499999998
2021-12-13,3,2021-12-16 00:00:00,1014.36875
2021-12-20,3,2021-12-23 00:00:00,-730.5125
2021-12-27,3,2021-12-30 00:00:00,971.55
2022-01-03,3,2022-01-06 00:00:00,-617.1250000000002
2022-01-10,3,2022-01-13 00:00:00,585.76875
2022-01-17,3,2022-01-20 00:00:00,-599.88125
2022-01-24,3,2022-01-27 00:00:00,1418.0875000000003
2022-01-31,3,2022-02-03 00:00:00,2626.48125
2022-02-07,3,2022-02-10 00:00:00,444.1687500000003
2022-02-14,3,2022-02-17 00:00:00,-504.0812499999997
2022-02-21,3,2022-02-24 00:00:00,-889.7937499999997
2022-02-28,3,2022-03-03 00:00:00,2036.14375
2022-03-07,3,2022-03-10 00:00:00,-1780.6062499999998
2022-03-14,3,2022-03-17 00:00:00,1887.78125
2022-03-21,3,2022-03-24 00:00:00,1492.7124999999999
2022-03-28,3,2022-03-31 00:00:00,725.8937499999998
2022-04-04,3,2022-04-07 00:00:00,658.4687500000001
2022-04-11,2,2022-04-13 00:00:00,-672.0749999999998
2022-04-18,3,2022-04-21 00:00:00,941.9625000000003
2022-04-25,3,2022-04-28 00:00:00,996.0374999999999
2022-05-02,3,2022-05-05 00:00:00,858.9375
2022-05-09,3,2022-05-12 00:00:00,342.86874999999986
2022-05-16,3,2022-05-19 00:00:00,-427.0812500000004
