Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,704.2374999999998
2021-06-14,3,2021-06-17 00:00:00,583.3249999999999
2021-06-21,3,2021-06-24 00:00:00,511.2125
2021-06-28,3,2021-07-01 00:00:00,667.6
2021-07-05,3,2021-07-08 00:00:00,176.16250000000002
2021-07-12,3,2021-07-15 00:00:00,-276.4
2021-07-19,3,2021-07-22 00:00:00,169.1249999999999
2021-07-26,3,2021-07-29 00:00:00,135.8749999999999
2021-08-02,3,2021-08-05 00:00:00,-2201.8624999999993
2021-08-09,3,2021-08-12 00:00:00,378.9625
2021-08-16,2,2021-08-18 00:00:00,645.3999999999999
2021-08-23,3,2021-08-26 00:00:00,270.45
2021-08-30,3,2021-09-02 00:00:00,-1728.625
2021-09-06,3,2021-09-09 00:00:00,652.2249999999999
2021-09-13,3,2021-09-16 00:00:00,618.2249999999999
2021-09-20,3,2021-09-23 00:00:00,427.0624999999998
2021-09-27,3,2021-09-30 00:00:00,86.24999999999989
2021-10-04,3,2021-10-07 00:00:00,853.825
2021-10-11,3,2021-10-14 00:00:00,859.2125000000001
2021-10-18,3,2021-10-21 00:00:00,137.5
2021-10-25,3,2021-10-28 00:00:00,1261.3
2021-11-01,2,2021-11-03 00:00:00,636.7875000000003
2021-11-08,3,2021-11-11 00:00:00,983.5625000000002
2021-11-15,3,2021-11-18 00:00:00,-1056.75
2021-11-22,3,2021-11-25 00:00:00,1405.4125000000004
2021-11-29,3,2021-12-02 00:00:00,959.2874999999999
2021-12-06,3,2021-12-09 00:00:00,-2997.5375000000004
2021-12-13,3,2021-12-16 00:00:00,1471.3000000000002
2021-12-20,3,2021-12-23 00:00:00,-3166.5000000000005
2021-12-27,3,2021-12-30 00:00:00,1221.4625000000003
2022-01-03,3,2022-01-06 00:00:00,390.71249999999975
2022-01-10,3,2022-01-13 00:00:00,790.3375000000001
2022-01-17,3,2022-01-20 00:00:00,-5668.6875
2022-01-24,3,2022-01-27 00:00:00,2109.2999999999997
2022-01-31,3,2022-02-03 00:00:00,3674.9624999999996
2022-02-07,3,2022-02-10 00:00:00,1330.6125
2022-02-14,3,2022-02-17 00:00:00,493.7624999999998
2022-02-21,3,2022-02-24 00:00:00,-9965.1125
2022-02-28,3,2022-03-03 00:00:00,3124.85
2022-03-07,3,2022-03-10 00:00:00,-5038.15
2022-03-14,3,2022-03-17 00:00:00,2982.4749999999985
2022-03-21,3,2022-03-24 00:00:00,2003.8625000000002
2022-03-28,3,2022-03-31 00:00:00,905.5625
2022-04-04,3,2022-04-07 00:00:00,859.4750000000004
2022-04-11,2,2022-04-13 00:00:00,138.3375000000001
2022-04-18,3,2022-04-21 00:00:00,1172.7749999999999
2022-04-25,3,2022-04-28 00:00:00,826.6124999999998
2022-05-02,3,2022-05-05 00:00:00,1221.95
2022-05-09,3,2022-05-12 00:00:00,1564.0750000000003
2022-05-16,3,2022-05-19 00:00:00,879.1500000000001
2022-05-23,3,2022-05-26 00:00:00,1679.5125
2022-05-30,3,2022-06-02 00:00:00,1223.7
2022-06-06,3,2022-06-09 00:00:00,280.4874999999997
2022-06-13,3,2022-06-16 00:00:00,1501.7000000000003
2022-06-20,3,2022-06-23 00:00:00,128.28749999999968
2022-06-27,3,2022-06-30 00:00:00,1120.9875000000002
2022-07-04,3,2022-07-07 00:00:00,657.2875000000003
2022-07-11,3,2022-07-14 00:00:00,-293.4875000000002
2022-07-18,3,2022-07-21 00:00:00,-107.17499999999995
2022-07-25,3,2022-07-28 00:00:00,243.86249999999995
2022-08-01,3,2022-08-04 00:00:00,729.1875
2022-08-08,3,2022-08-11 00:00:00,808.0375000000001
2022-08-22,3,2022-08-25 00:00:00,293.2875
2022-08-29,3,2022-09-01 00:00:00,426.9000000000001
2022-09-05,3,2022-09-08 00:00:00,882.2874999999999
2022-09-12,3,2022-09-15 00:00:00,988.4499999999998
2022-09-19,3,2022-09-22 00:00:00,686.8125000000002
2022-09-26,3,2022-09-29 00:00:00,639.3500000000001
2022-10-03,3,2022-10-06 00:00:00,480.1374999999998
2022-10-10,3,2022-10-13 00:00:00,325.8250000000005
2022-10-17,3,2022-10-20 00:00:00,588.8500000000001
