Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,1408.4749999999997
2021-06-14,3,2021-06-17 00:00:00,1166.65
2021-06-21,3,2021-06-24 00:00:00,1569.0875
2021-06-28,3,2021-07-01 00:00:00,1335.2
2021-07-05,3,2021-07-08 00:00:00,664.1625000000001
2021-07-12,3,2021-07-15 00:00:00,-509.8750000000007
2021-07-19,3,2021-07-22 00:00:00,1025.0500000000002
2021-07-26,3,2021-07-29 00:00:00,900.4749999999998
2021-08-02,3,2021-08-05 00:00:00,-6527.249999999999
2021-08-09,3,2021-08-12 00:00:00,1212.4249999999997
2021-08-16,2,2021-08-18 00:00:00,1290.7999999999995
2021-08-23,3,2021-08-26 00:00:00,975.1999999999998
2021-08-30,3,2021-09-02 00:00:00,-5305.549999999998
2021-09-06,3,2021-09-09 00:00:00,1304.4499999999998
2021-09-13,3,2021-09-16 00:00:00,1236.4499999999998
2021-09-20,3,2021-09-23 00:00:00,1828.7749999999999
2021-09-27,3,2021-09-30 00:00:00,950.2
2021-10-04,3,2021-10-07 00:00:00,1707.65
2021-10-11,3,2021-10-14 00:00:00,1718.4250000000002
2021-10-18,3,2021-10-21 00:00:00,840.5999999999997
2021-10-25,3,2021-10-28 00:00:00,2522.6
2021-11-01,2,2021-11-03 00:00:00,1932.6000000000008
2021-11-08,3,2021-11-11 00:00:00,1967.125
2021-11-15,3,2021-11-18 00:00:00,-1970.8374999999996
2021-11-22,3,2021-11-25 00:00:00,2810.8250000000007
2021-11-29,3,2021-12-02 00:00:00,2530.8875
2021-12-06,3,2021-12-09 00:00:00,-8749.849999999999
2021-12-13,3,2021-12-16 00:00:00,2942.6000000000004
2021-12-20,3,2021-12-23 00:00:00,-9446.325
2021-12-27,3,2021-12-30 00:00:00,2442.925
2022-01-03,3,2022-01-06 00:00:00,1528.8249999999996
2022-01-10,3,2022-01-13 00:00:00,1580.6750000000002
2022-01-17,3,2022-01-20 00:00:00,-16506.050000000003
2022-01-24,3,2022-01-27 00:00:00,4218.599999999999
2022-01-31,3,2022-02-03 00:00:00,7349.924999999999
2022-02-07,3,2022-02-10 00:00:00,2661.225
2022-02-14,3,2022-02-17 00:00:00,1308.1999999999998
2022-02-21,3,2022-02-24 00:00:00,-28371.299999999996
2022-02-28,3,2022-03-03 00:00:00,6249.7
2022-03-07,3,2022-03-10 00:00:00,-13731.2375
2022-03-14,3,2022-03-17 00:00:00,5964.949999999999
2022-03-21,3,2022-03-24 00:00:00,4007.7250000000004
2022-03-28,3,2022-03-31 00:00:00,1811.1249999999995
2022-04-04,3,2022-04-07 00:00:00,1718.9500000000005
2022-04-11,2,2022-04-13 00:00:00,976.0999999999999
2022-04-18,3,2022-04-21 00:00:00,2345.5499999999997
2022-04-25,3,2022-04-28 00:00:00,2338.7625
2022-05-02,3,2022-05-05 00:00:00,2443.9
2022-05-09,3,2022-05-12 00:00:00,3128.1500000000005
2022-05-16,3,2022-05-19 00:00:00,2568.8250000000003
2022-05-23,3,2022-05-26 00:00:00,3359.025
2022-05-30,3,2022-06-02 00:00:00,2447.4
2022-06-06,3,2022-06-09 00:00:00,1799.4874999999995
2022-06-13,3,2022-06-16 00:00:00,3003.4000000000005
2022-06-20,3,2022-06-23 00:00:00,1039.3249999999994
2022-06-27,3,2022-06-30 00:00:00,2241.9750000000004
2022-07-04,3,2022-07-07 00:00:00,1761.5000000000002
2022-07-11,3,2022-07-14 00:00:00,25.337499999999636
2022-07-18,3,2022-07-21 00:00:00,-149.96250000000032
2022-07-25,3,2022-07-28 00:00:00,1385.3625
2022-08-01,3,2022-08-04 00:00:00,1458.375
2022-08-08,3,2022-08-11 00:00:00,1616.0750000000003
2022-08-22,3,2022-08-25 00:00:00,1148.3875000000003
2022-08-29,3,2022-09-01 00:00:00,1628.9749999999997
2022-09-05,3,2022-09-08 00:00:00,1764.5749999999998
2022-09-12,3,2022-09-15 00:00:00,1976.9
2022-09-19,3,2022-09-22 00:00:00,2179.1000000000004
2022-09-26,3,2022-09-29 00:00:00,2350.5625
2022-10-03,3,2022-10-06 00:00:00,1133.2375
2022-10-10,3,2022-10-13 00:00:00,1623.775
2022-10-17,3,2022-10-20 00:00:00,1641.0375000000004
2022-10-31,3,2022-11-03 00:00:00,1244.5625
2022-11-07,3,2022-11-10 00:00:00,1131.6000000000001
2022-11-14,3,2022-11-17 00:00:00,1072.725
2022-11-21,3,2022-11-24 00:00:00,1032.3249999999998
2022-11-28,3,2022-12-01 00:00:00,-152.17499999999973
2022-12-05,3,2022-12-08 00:00:00,1208.6
2022-12-12,3,2022-12-15 00:00:00,1108.225
