Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,1302.9249999999997
2021-06-14,3,2021-06-17 00:00:00,1010.3
2021-06-21,3,2021-06-24 00:00:00,1640.5499999999995
2021-06-28,3,2021-07-01 00:00:00,1073.9250000000002
2021-07-05,3,2021-07-08 00:00:00,716.6500000000002
2021-07-12,3,2021-07-15 00:00:00,-1682.8249999999998
2021-07-19,3,2021-07-22 00:00:00,1200.175
2021-07-26,3,2021-07-29 00:00:00,-1208.0499999999995
2021-08-02,3,2021-08-05 00:00:00,-1113.8125000000002
2021-08-09,3,2021-08-12 00:00:00,1213.8999999999999
2021-08-16,2,2021-08-18 00:00:00,1149.1750000000002
2021-08-23,3,2021-08-26 00:00:00,-675.8125000000002
2021-08-30,3,2021-09-02 00:00:00,-2009.4750000000008
2021-09-06,3,2021-09-09 00:00:00,1134.0749999999998
2021-09-13,3,2021-09-16 00:00:00,-2233.1875
2021-09-20,3,2021-09-23 00:00:00,1996.1250000000002
2021-09-27,3,2021-09-30 00:00:00,-964.6374999999996
2021-10-04,3,2021-10-07 00:00:00,1507.275
2021-10-11,3,2021-10-14 00:00:00,-1002.3249999999998
2021-10-18,3,2021-10-21 00:00:00,-2385.025
2021-10-25,3,2021-10-28 00:00:00,2361.7750000000005
2021-11-01,2,2021-11-03 00:00:00,2071.65
2021-11-08,3,2021-11-11 00:00:00,1460.6750000000002
2021-11-15,3,2021-11-18 00:00:00,-3198.2
2021-11-22,3,2021-11-25 00:00:00,2504.125000000001
2021-11-29,3,2021-12-02 00:00:00,418.2375000000011
2021-12-06,3,2021-12-09 00:00:00,-3887.150000000001
2021-12-13,3,2021-12-16 00:00:00,2151.25
2021-12-20,3,2021-12-23 00:00:00,-3688.625000000001
2021-12-27,3,2021-12-30 00:00:00,2251.125
2022-01-03,3,2022-01-06 00:00:00,-1006.6874999999995
2022-01-10,3,2022-01-13 00:00:00,1381.5
2022-01-17,3,2022-01-20 00:00:00,-4645.4125
2022-01-24,3,2022-01-27 00:00:00,3638.800000000001
2022-01-31,3,2022-02-03 00:00:00,6432.925000000002
2022-02-07,3,2022-02-10 00:00:00,-2.125
2022-02-14,3,2022-02-17 00:00:00,-413.3999999999978
2022-02-21,3,2022-02-24 00:00:00,-7301.612500000003
2022-02-28,3,2022-03-03 00:00:00,6262.6500000000015
2022-03-07,3,2022-03-10 00:00:00,-6081.3375
2022-03-14,3,2022-03-17 00:00:00,4768.25
2022-03-21,3,2022-03-24 00:00:00,3186.5499999999993
2022-03-28,3,2022-03-31 00:00:00,1375.0749999999998
2022-04-04,3,2022-04-07 00:00:00,1580.6750000000006
2022-04-11,2,2022-04-13 00:00:00,-898.9999999999995
2022-04-18,3,2022-04-21 00:00:00,2159.55
2022-04-25,3,2022-04-28 00:00:00,2108.525
2022-05-02,3,2022-05-05 00:00:00,1992.125
2022-05-09,3,2022-05-12 00:00:00,-537.0500000000006
2022-05-16,3,2022-05-19 00:00:00,284.2375000000011
2022-05-23,3,2022-05-26 00:00:00,2340.5499999999993
2022-05-30,3,2022-06-02 00:00:00,2095.65
2022-06-06,3,2022-06-09 00:00:00,1854.2749999999996
2022-06-13,3,2022-06-16 00:00:00,2235.1000000000004
2022-06-20,3,2022-06-23 00:00:00,-125.03749999999991
2022-06-27,3,2022-06-30 00:00:00,1860.8249999999998
2022-07-04,3,2022-07-07 00:00:00,250.92500000000064
2022-07-11,3,2022-07-14 00:00:00,374.29999999999995
2022-07-18,3,2022-07-21 00:00:00,-548.6624999999999
2022-07-25,3,2022-07-28 00:00:00,1446.225
2022-08-01,3,2022-08-04 00:00:00,1254.0000000000002
2022-08-08,3,2022-08-11 00:00:00,1382.3749999999998
2022-08-22,3,2022-08-25 00:00:00,1430.0
2022-08-29,3,2022-09-01 00:00:00,-409.61250000000064
2022-09-05,3,2022-09-08 00:00:00,1431.6749999999997
2022-09-12,3,2022-09-15 00:00:00,1555.7499999999998
2022-09-19,3,2022-09-22 00:00:00,-293.212500000001
2022-09-26,3,2022-09-29 00:00:00,2295.375
2022-10-03,3,2022-10-06 00:00:00,-164.18749999999955
2022-10-10,3,2022-10-13 00:00:00,1771.0499999999997
2022-10-17,3,2022-10-20 00:00:00,211.68749999999977
2022-10-31,3,2022-11-03 00:00:00,482.9000000000003
2022-11-07,3,2022-11-10 00:00:00,988.5500000000001
2022-11-14,3,2022-11-17 00:00:00,816.6499999999999
2022-11-21,3,2022-11-24 00:00:00,1012.375
2022-11-28,3,2022-12-01 00:00:00,-956.2625
2022-12-05,3,2022-12-08 00:00:00,943.9250000000002
2022-12-12,3,2022-12-15 00:00:00,-1402.2250000000008
2022-12-19,3,2022-12-22 00:00:00,-549.6624999999995
2022-12-26,3,2022-12-29 00:00:00,1510.0000000000005
2023-01-02,3,2023-01-05 00:00:00,1355.8250000000003
2023-01-09,3,2023-01-12 00:00:00,-663.4749999999999
2023-01-16,3,2023-01-19 00:00:00,-1263.2124999999996
2023-01-23,2,2023-01-25 00:00:00,-2428.6375
2023-01-30,3,2023-02-02 00:00:00,3940.1000000000004
2023-02-06,3,2023-02-09 00:00:00,1336.5500000000002
2023-02-13,3,2023-02-16 00:00:00,-2063.8624999999993
2023-02-20,3,2023-02-23 00:00:00,-788.9500000000003
2023-02-27,3,2023-03-02 00:00:00,1281.5249999999999
2023-03-06,3,2023-03-09 00:00:00,-870.2749999999997
2023-03-13,3,2023-03-16 00:00:00,1714.5499999999997
2023-03-20,3,2023-03-23 00:00:00,1979.7
2023-03-27,2,2023-03-29 00:00:00,909.6000000000001
2023-04-03,3,2023-04-06 00:00:00,-546.6125000000002
2023-04-10,3,2023-04-13 00:00:00,-512.3624999999997
2023-04-17,3,2023-04-20 00:00:00,795.425
2023-04-24,3,2023-04-27 00:00:00,622.4249999999998
2023-05-08,3,2023-05-11 00:00:00,674.6999999999998
2023-05-15,3,2023-05-18 00:00:00,-3364.8125000000014
2023-05-22,3,2023-05-25 00:00:00,720.6500000000001
2023-05-29,3,2023-06-01 00:00:00,1065.1
2023-06-05,3,2023-06-08 00:00:00,970.5750000000002
2023-06-12,3,2023-06-15 00:00:00,603.9250000000001
2023-06-19,3,2023-06-22 00:00:00,817.9249999999998
2023-06-26,3,2023-06-29 00:00:00,-28.750000000000227
2023-07-03,3,2023-07-06 00:00:00,992.175
2023-07-10,3,2023-07-13 00:00:00,860.6999999999999
2023-07-17,3,2023-07-20 00:00:00,-1675.562500000001
2023-07-24,3,2023-07-27 00:00:00,1360.5999999999997
2023-07-31,3,2023-08-03 00:00:00,-2333.037500000001
2023-08-07,3,2023-08-10 00:00:00,890.8250000000005
2023-08-14,3,2023-08-17 00:00:00,742.0249999999999
