Strategy,Parameters,DTE0,DTE1,DTE2,DTE3,DTE4,Day,Status,Start_Date,End_Date
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2","['5T', 0, 0.5, '09:30', '15:00', '1st_week', 3, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1","['5T', 0, 0.5, '09:30', '15:00', '1st_week', 3, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,3","['5T', 0, 0.5, '14:30', '15:00', '1st_week', 2, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2","['5T', 0, 0.5, '14:30', '15:00', '1st_week', 2, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1","['5T', 0, 0.5, '14:30', '15:00', '1st_week', 2, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3","['5T', 0, 0.5, '14:30', '15:00', '1st_week', 2.5, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2","['5T', 0, 0.5, '14:30', '15:00', '1st_week', 2.5, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1","['5T', 0, 0.5, '14:30', '15:00', '1st_week', 2.5, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,3","['5T', 0, 0.5, '14:30', '15:00', '1st_week', 3, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2","['5T', 0, 0.5, '14:30', '15:00', '1st_week', 3, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1","['5T', 0, 0.5, '14:30', '15:00', '1st_week', 3, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,3","['5T', 0, 1000, '09:30', '15:00', '1st_week', 2, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2","['5T', 0, 1000, '09:30', '15:00', '1st_week', 2, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1","['5T', 0, 1000, '09:30', '15:00', '1st_week', 2, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3","['5T', 0, 1000, '09:30', '15:00', '1st_week', 2.5, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2","['5T', 0, 1000, '09:30', '15:00', '1st_week', 2.5, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1","['5T', 0, 1000, '09:30', '15:00', '1st_week', 2.5, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,3","['5T', 0, 1000, '09:30', '15:00', '1st_week', 3, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2","['5T', 0, 1000, '09:30', '15:00', '1st_week', 3, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1","['5T', 0, 1000, '09:30', '15:00', '1st_week', 3, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,3","['5T', 0, 1000, '14:30', '15:00', '1st_week', 2, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2","['5T', 0, 1000, '14:30', '15:00', '1st_week', 2, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1","['5T', 0, 1000, '14:30', '15:00', '1st_week', 2, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3","['5T', 0, 1000, '14:30', '15:00', '1st_week', 2.5, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2","['5T', 0, 1000, '14:30', '15:00', '1st_week', 2.5, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1","['5T', 0, 1000, '14:30', '15:00', '1st_week', 2.5, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,3","['5T', 0, 1000, '14:30', '15:00', '1st_week', 3, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1","['5T', 0, 1000, '14:30', '15:00', '1st_week', 3, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2","['5T', 0, 1000, '14:30', '15:00', '1st_week', 3, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,3","['5T', 0, 500, '09:30', '15:00', '1st_week', 2, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2","['5T', 0, 500, '09:30', '15:00', '1st_week', 2, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1","['5T', 0, 500, '09:30', '15:00', '1st_week', 2, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3","['5T', 0, 500, '09:30', '15:00', '1st_week', 2.5, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2","['5T', 0, 500, '09:30', '15:00', '1st_week', 2.5, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1","['5T', 0, 500, '09:30', '15:00', '1st_week', 2.5, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,3","['5T', 0, 500, '09:30', '15:00', '1st_week', 3, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2","['5T', 0, 500, '09:30', '15:00', '1st_week', 3, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1","['5T', 0, 500, '09:30', '15:00', '1st_week', 3, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,3","['5T', 0, 500, '14:30', '15:00', '1st_week', 2, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1","['5T', 0, 500, '14:30', '15:00', '1st_week', 2, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3","['5T', 0, 500, '14:30', '15:00', '1st_week', 2.5, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2","['5T', 0, 500, '14:30', '15:00', '1st_week', 2, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2","['5T', 0, 500, '14:30', '15:00', '1st_week', 2.5, 0.2]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1","['5T', 0, 500, '14:30', '15:00', '1st_week', 2.5, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,3","['5T', 0, 500, '14:30', '15:00', '1st_week', 3, 0.3]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1","['5T', 0, 500, '14:30', '15:00', '1st_week', 3, 0.1]",,,,,,,0,2025-07-01,2025-08-31
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2","['5T', 0, 500, '14:30', '15:00', '1st_week', 3, 0.2]",,,,,,,0,2025-07-01,2025-08-31
