Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.47,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23222.8,22250.0,22700,23700,24200,2024-06-06 00:00:00,3,Monday,62.25,123.4,141.55,71.75,0,246.8,283.1,0,37.02,42.465,,,,,523.8000000000002
2024-06-03,,0,Long,2024-06-04 09:16:00,2024-06-04 09:16:00,2024-06-04 12:09:00,2024-06-04 12:09:00,,22250.0,22700,23700,24200,2024-06-06 00:00:00,3,Monday,"[171.25, 0.2]","[306.35, 3.25]","[40.55, 40.55]","[25.2, 25.2]",0,,,0,,,Exit,SL hit,Target hit,Exit,-469.75
2024-06-10,16.18,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23261.7,22650.0,22850,23650,23800,2024-06-13 00:00:00,3,Monday,26.2,53.05,37.65,19.9,0,106.1,75.3,0,15.915,11.295,,,,,178.39999999999998
2024-06-10,,0,Long,2024-06-11 12:55:00,2024-06-11 12:55:00,2024-06-11 15:14:00,2024-06-11 15:14:00,,22650.0,22850,23650,23800,2024-06-13 00:00:00,3,Monday,"[7.3, 7.3]","[15.4, 15.4]","[10.9, 10.9]","[3.85, 3.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-60.60000000000002
2024-06-24,14.18,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23528.3,23050.0,23200,23900,24000,2024-06-27 00:00:00,3,Monday,13.9,27.55,13.8,7.4,0,55.1,27.6,0,8.265,4.14,,,,,80.2
2024-06-24,,0,Long,2024-06-26 09:18:00,2024-06-26 09:18:00,2024-06-25 13:15:00,2024-06-25 13:15:00,,23050.0,23200,23900,24000,2024-06-27 00:00:00,3,Monday,"[4.45, 4.45]","[8.0, 8.0]","[28.9, 134.9]","[13.55, 44.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-151.09999999999997
2024-07-01,13.9,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24130.8,23650.0,23800,24500,24600,2024-07-04 00:00:00,3,Monday,15.5,29.95,15.55,7.15,0,59.9,31.1,0,8.985,4.665,,,,,91.4
2024-07-01,,0,Long,2024-07-03 09:16:00,2024-07-03 09:16:00,2024-07-04 10:34:00,2024-07-04 10:34:00,,23650.0,23800,24500,24600,2024-07-04 00:00:00,3,Monday,"[3.55, 3.55]","[8.0, 8.0]","[4.6, 4.6]","[1.25, 1.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-31.2
2024-07-08,13.67,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24308.4,23850.0,23950,24650,24750,2024-07-11 00:00:00,3,Monday,7.9,14.25,10.65,4.4,0,28.5,21.3,0,4.275,3.195,,,,,50.39999999999999
2024-07-08,,0,Long,2024-07-10 09:15:00,2024-07-10 09:15:00,2024-07-10 13:40:00,2024-07-10 13:40:00,,23850.0,23950,24650,24750,2024-07-11 00:00:00,3,Monday,"[2.95, 2.95]","[4.2, 4.2]","[3.15, 3.15]","[1.65, 1.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.0
2024-07-15,14.13,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24613.75,24050.0,24200,25000,25100,2024-07-18 00:00:00,3,Monday,6.0,11.85,4.7,2.1,0,23.7,9.4,0,3.555,1.41,,,,,33.800000000000004
2024-07-15,,0,Long,2024-07-16 14:50:00,2024-07-16 14:50:00,2024-07-16 14:23:00,2024-07-16 14:23:00,,24050.0,24200,25000,25100,2024-07-18 00:00:00,3,Monday,"[1.8, 1.8]","[3.55, 3.55]","[1.4, 1.4]","[0.7, 0.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.8
2024-07-22,15.35,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24509.4,23800.0,24100,24900,25150,2024-07-25 00:00:00,3,Monday,35.95,73.25,77.5,36.0,0,146.5,155.0,0,21.975,23.25,,,,,315.2
2024-07-22,,0,Long,2024-07-23 12:20:00,2024-07-23 12:20:00,2024-07-23 12:29:00,2024-07-23 12:29:00,,23800.0,24100,24900,25150,2024-07-25 00:00:00,3,Monday,"[71.4, 0.1]","[146.95, 0.25]","[22.4, 22.4]","[11.1, 11.1]",0,,,0,,,Exit,SL hit,Target hit,Exit,-271.9999999999999
2024-07-29,13.07,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24824.4,24300.0,24450,25150,25250,2024-08-01 00:00:00,3,Monday,10.8,20.2,25.1,13.9,0,40.4,50.2,0,6.06,7.53,,,,,82.39999999999998
2024-07-29,,0,Long,2024-07-31 09:30:00,2024-07-31 09:30:00,2024-08-01 10:09:00,2024-08-01 10:09:00,,24300.0,24450,25150,25250,2024-08-01 00:00:00,3,Monday,"[3.6, 3.6]","[5.9, 5.9]","[7.5, 7.5]","[2.4, 2.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-29.6
2024-08-05,20.58,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24027.35,23000.0,23500,24600,24800,2024-08-08 00:00:00,3,Monday,45.5,90.65,24.75,12.7,0,181.3,49.5,0,27.195,7.425,,,,,228.8
2024-08-05,,0,Long,2024-08-06 09:16:00,2024-08-06 09:16:00,2024-08-06 09:22:00,2024-08-06 09:22:00,,23000.0,23500,24600,24800,2024-08-08 00:00:00,3,Monday,"[8.0, 8.0]","[15.8, 15.8]","[58.85, 0.3]","[22.65, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-139.95000000000005
2024-08-12,15.68,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24407.9,23900.0,24050,24750,24850,2024-08-14 00:00:00,2,Monday,13.6,25.75,11.7,5.55,0,51.5,23.4,0,7.725,3.51,,,,,73.20000000000002
2024-08-12,,0,Long,2024-08-13 14:05:00,2024-08-13 14:05:00,2024-08-13 11:06:00,2024-08-13 11:06:00,,23900.0,24050,24750,24850,2024-08-14 00:00:00,2,Monday,"[18.5, 0.35]","[53.35, 0.7]","[3.5, 3.5]","[1.9, 1.9]",0,,,0,,,Exit,SL hit,Target hit,Exit,-111.3
2024-08-19,14.32,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24584.25,24050.0,24200,25000,25100,2024-08-22 00:00:00,3,Monday,8.4,17.05,6.25,3.1,0,34.1,12.5,0,5.115,1.875,,,,,47.2
2024-08-19,,0,Long,2024-08-20 13:17:00,2024-08-20 13:17:00,2024-08-20 10:06:00,2024-08-20 10:06:00,,24050.0,24200,25000,25100,2024-08-22 00:00:00,3,Monday,"[3.6, 3.6]","[5.1, 5.1]","[12.55, 0.15]","[4.65, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-29.7
2024-08-26,13.89,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25023.65,24350.0,24600,25400,25500,2024-08-29 00:00:00,3,Monday,5.6,10.8,7.6,3.9,0,21.6,15.2,0,3.24,2.28,,,,,35.599999999999994
2024-08-26,,0,Long,2024-08-28 10:15:00,2024-08-28 10:15:00,2024-08-27 15:23:00,2024-08-27 15:23:00,,24350.0,24600,25400,25500,2024-08-29 00:00:00,3,Monday,"[1.55, 1.55]","[3.2, 3.2]","[2.25, 2.25]","[1.4, 1.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.0
2024-09-02,14.08,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25260.65,24700.0,24850,25650,25800,2024-09-05 00:00:00,3,Monday,7.75,15.35,6.75,3.0,0,30.7,13.5,0,4.605,2.025,,,,,45.400000000000006
2024-09-02,,0,Long,2024-09-04 15:27:00,2024-09-04 15:27:00,2024-09-04 09:15:00,2024-09-04 09:15:00,,24700.0,24850,25650,25800,2024-09-05 00:00:00,3,Monday,"[1.9, 1.9]","[4.6, 4.6]","[1.0, 1.0]","[1.2, 1.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.999999999999998
2024-09-09,14.45,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24869.0,24300.0,24450,25250,25350,2024-09-12 00:00:00,3,Monday,7.4,14.45,14.6,7.8,0,28.9,29.2,0,4.335,4.38,,,,,55.39999999999999
2024-09-09,,0,Long,2024-09-10 09:16:00,2024-09-10 09:16:00,2024-09-10 13:13:00,2024-09-10 13:13:00,,24300.0,24450,25250,25350,2024-09-12 00:00:00,3,Monday,"[2.6, 2.6]","[4.05, 4.05]","[30.5, 87.45]","[13.3, 10.45]",0,,,0,,,Exit,Target hit,SL hit,Exit,-134.4
2024-09-16,12.51,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25395.1,24850.0,25050,25750,25850,2024-09-19 00:00:00,3,Monday,9.25,20.05,11.85,5.85,0,40.1,23.7,0,6.015,3.555,,,,,67.19999999999999
2024-09-16,,0,Long,2024-09-18 13:41:00,2024-09-18 13:41:00,2024-09-19 10:09:00,2024-09-19 10:09:00,,24850.0,25050,25750,25850,2024-09-19 00:00:00,3,Monday,"[18.55, 0.1]","[45.95, 0.25]","[3.5, 3.5]","[1.6, 1.6]",0,,,0,,,Exit,SL hit,Target hit,Exit,-89.95000000000002
2024-09-23,13.98,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25927.8,25250.0,25550,26350,26500,2024-09-26 00:00:00,3,Monday,15.35,30.7,14.55,7.4,0,61.4,29.1,0,9.21,4.365,,,,,90.0
2024-09-23,,0,Long,2024-09-25 11:23:00,2024-09-25 11:23:00,2024-09-24 15:06:00,2024-09-24 15:06:00,,25250.0,25550,26350,26500,2024-09-26 00:00:00,3,Monday,"[4.1, 4.1]","[9.15, 9.15]","[4.05, 4.05]","[2.25, 2.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-27.40000000000001
2024-09-30,12.99,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25809.35,25250.0,25450,26150,26300,2024-10-03 00:00:00,3,Monday,13.25,27.1,30.0,16.4,0,54.2,60.0,0,8.13,9.0,,,,,109.8
2024-09-30,,0,Long,2024-10-01 14:16:00,2024-10-01 14:16:00,2024-10-01 13:55:00,2024-10-01 13:55:00,,25250.0,25450,26150,26300,2024-10-03 00:00:00,3,Monday,"[2.9, 2.9]","[8.0, 8.0]","[9.0, 9.0]","[4.4, 4.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-38.8
2024-02-05,15.6,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,21889.05,21400.0,21550,22250,22400,2024-02-08 00:00:00,3,Monday,18.1,34.9,26.95,11.9,0,69.8,53.9,0,10.47,8.084999999999999,,,,,127.39999999999998
2024-02-05,,0,Long,2024-02-05 14:44:00,2024-02-05 14:44:00,2024-02-07 11:33:00,2024-02-07 11:33:00,,21400.0,21550,22250,22400,2024-02-08 00:00:00,3,Monday,"[39.5, 0.15]","[73.95, 0.35]","[7.6, 7.6]","[2.65, 2.65]",0,,,0,,,Exit,SL hit,Target hit,Exit,-123.35000000000002
2024-02-12,16.15,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,21634.6,21100.0,21250,22050,22150,2024-02-15 00:00:00,3,Monday,14.75,29.7,21.0,11.6,0,59.4,42.0,0,8.91,6.3,,,,,97.4
2024-02-12,,0,Long,2024-02-13 15:15:00,2024-02-13 15:15:00,2024-02-14 09:15:00,2024-02-14 09:15:00,,21100.0,21250,22050,22150,2024-02-15 00:00:00,3,Monday,"[4.25, 4.25]","[8.6, 8.6]","[6.2, 6.2]","[2.35, 2.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-32.8
2024-02-19,16.08,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22181.35,21600.0,21800,22600,22700,2024-02-22 00:00:00,3,Monday,14.5,30.55,13.85,6.25,0,61.1,27.7,0,9.165,4.154999999999999,,,,,94.6
2024-02-19,,0,Long,2024-02-21 10:07:00,2024-02-21 10:07:00,2024-02-20 09:15:00,2024-02-20 09:15:00,,21600.0,21800,22600,22700,2024-02-22 00:00:00,3,Monday,"[3.5, 3.5]","[9.1, 9.1]","[3.7, 3.7]","[3.0, 3.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-25.2
2024-02-26,15.63,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22160.4,21650.0,21800,22500,22600,2024-02-29 00:00:00,3,Monday,12.1,25.25,26.75,13.85,0,50.5,53.5,0,7.574999999999999,8.025,,,,,104.2
2024-02-26,,0,Long,2024-02-28 10:06:00,2024-02-28 10:06:00,2024-02-28 09:54:00,2024-02-28 09:54:00,,21650.0,21800,22500,22600,2024-02-29 00:00:00,3,Monday,"[3.1, 3.1]","[7.35, 7.35]","[7.8, 7.8]","[2.8, 2.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-37.0
2024-03-04,14.93,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22426.75,21950.0,22100,22800,22900,2024-03-07 00:00:00,3,Monday,18.75,35.05,9.55,4.35,0,70.1,19.1,0,10.515,2.865,,,,,85.99999999999997
2024-03-04,,0,Long,2024-03-06 13:52:00,2024-03-06 13:52:00,2024-03-05 10:27:00,2024-03-05 10:27:00,,21950.0,22100,22800,22900,2024-03-07 00:00:00,3,Monday,"[5.0, 5.0]","[10.0, 10.0]","[2.85, 2.85]","[2.05, 2.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-23.2
2024-03-11,14.06,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22367.55,21900.0,22000,22700,22800,2024-03-14 00:00:00,3,Monday,10.45,18.6,21.35,10.45,0,37.2,42.7,0,5.58,6.405,,,,,76.20000000000002
2024-03-11,,0,Long,2024-03-13 09:15:00,2024-03-13 09:15:00,2024-03-13 09:52:00,2024-03-13 09:52:00,,21900.0,22000,22700,22800,2024-03-14 00:00:00,3,Monday,"[3.4, 3.4]","[5.1, 5.1]","[6.4, 6.4]","[2.85, 2.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-21.0
2024-03-18,14.0,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22108.2,21600.0,21750,22450,22550,2024-03-21 00:00:00,3,Monday,10.75,21.85,22.2,10.5,0,43.7,44.4,0,6.555000000000001,6.659999999999999,,,,,91.2
2024-03-18,,0,Long,2024-03-19 09:21:00,2024-03-19 09:21:00,2024-03-19 09:59:00,2024-03-19 09:59:00,,21600.0,21750,22450,22550,2024-03-21 00:00:00,3,Monday,"[21.2, 0.1]","[46.1, 0.2]","[6.55, 6.55]","[3.85, 3.85]",0,,,0,,,Exit,SL hit,Target hit,Exit,-85.6
2024-04-01,12.13,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22462.2,22000.0,22150,22750,22850,2024-04-04 00:00:00,3,Monday,8.7,19.8,21.3,9.85,0,39.6,42.6,0,5.94,6.39,,,,,90.20000000000002
2024-04-01,,0,Long,2024-04-03 11:25:00,2024-04-03 11:25:00,2024-04-03 09:16:00,2024-04-03 09:16:00,,22000.0,22150,22750,22850,2024-04-04 00:00:00,3,Monday,"[3.05, 3.05]","[5.9, 5.9]","[3.9, 3.9]","[1.8, 1.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-19.800000000000004
2024-04-08,11.53,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22669.1,22250.0,22400,22900,22950,2024-04-10 00:00:00,2,Monday,8.7,19.65,14.45,8.5,0,39.3,28.9,0,5.895,4.335,,,,,67.59999999999998
2024-04-08,,0,Long,2024-04-10 09:15:00,2024-04-10 09:15:00,2024-04-09 14:07:00,2024-04-09 14:07:00,,22250.0,22400,22900,22950,2024-04-10 00:00:00,2,Monday,"[1.25, 1.25]","[3.9, 3.9]","[4.25, 4.25]","[2.55, 2.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-17.400000000000002
2024-04-15,12.5,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22306.8,21850.0,22000,22600,22700,2024-04-18 00:00:00,3,Monday,11.2,22.7,18.5,9.5,0,45.4,37.0,0,6.81,5.55,,,,,82.00000000000001
2024-04-15,,0,Long,2024-04-16 09:17:00,2024-04-16 09:17:00,2024-04-16 10:16:00,2024-04-16 10:16:00,,21850.0,22000,22600,22700,2024-04-18 00:00:00,3,Monday,"[22.8, 0.7]","[45.5, 11.3]","[5.45, 5.45]","[3.6, 3.6]",0,,,0,,,Exit,SL hit,Target hit,Exit,-86.10000000000001
2024-04-22,12.87,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22282.8,21800.0,22000,22600,22700,2024-04-25 00:00:00,3,Monday,18.65,39.15,17.8,8.0,0,78.3,35.6,0,11.745,5.34,,,,,121.20000000000002
2024-04-22,,0,Long,2024-04-23 11:30:00,2024-04-23 11:30:00,2024-04-25 09:15:00,2024-04-25 09:15:00,,21800.0,22000,22600,22700,2024-04-25 00:00:00,3,Monday,"[5.95, 5.95]","[11.55, 11.55]","[3.2, 3.2]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-32.0
2024-04-29,12.28,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22613.4,22100.0,22300,22900,23000,2024-05-02 00:00:00,3,Monday,10.3,22.35,15.8,6.4,0,44.7,31.6,0,6.705,4.74,,,,,85.80000000000001
2024-04-29,,0,Long,2024-04-30 13:46:00,2024-04-30 13:46:00,2024-04-30 10:04:00,2024-04-30 10:04:00,,22100.0,22300,22900,23000,2024-05-02 00:00:00,3,Monday,"[3.0, 3.0]","[6.65, 6.65]","[32.25, 0.2]","[14.55, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-67.80000000000001
2024-05-06,16.66,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22441.4,21900.0,22050,22850,22950,2024-05-09 00:00:00,3,Monday,9.65,20.4,17.85,9.6,0,40.8,35.7,0,6.119999999999999,5.355,,,,,76.0
2024-05-06,,0,Long,2024-05-07 11:27:00,2024-05-07 11:27:00,2024-05-07 15:09:00,2024-05-07 15:09:00,,21900.0,22050,22850,22950,2024-05-09 00:00:00,3,Monday,"[17.8, 0.4]","[41.65, 57.0]","[5.3, 5.3]","[3.4, 3.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-135.74999999999997
2024-05-13,20.6,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22099.75,21400.0,21600,22600,22700,2024-05-16 00:00:00,3,Monday,6.8,13.65,8.9,5.05,0,27.3,17.8,0,4.095,2.67,,,,,42.8
2024-05-13,,0,Long,2024-05-15 09:16:00,2024-05-15 09:16:00,2024-05-15 13:18:00,2024-05-15 13:18:00,,21400.0,21600,22600,22700,2024-05-16 00:00:00,3,Monday,"[1.9, 1.9]","[3.45, 3.45]","[2.6, 2.6]","[1.45, 1.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.8
2024-05-27,23.12,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23056.95,22150.0,22450,23650,23800,2024-05-30 00:00:00,3,Monday,5.15,10.55,8.0,4.0,0,21.1,16.0,0,3.165,2.4,,,,,37.6
2024-05-27,,0,Long,2024-05-29 10:23:00,2024-05-29 10:23:00,2024-05-29 09:15:00,2024-05-29 09:15:00,,22150.0,22450,23650,23800,2024-05-30 00:00:00,3,Monday,"[3.5, 0.1]","[21.55, 41.6]","[2.0, 2.0]","[1.3, 1.3]",0,,,0,,,Exit,SL hit,Target hit,Exit,-98.45
2023-10-09,11.31,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,19527.45,19200.0,19300,19800,19850,2023-10-12 00:00:00,3,Monday,10.75,19.15,7.5,4.35,0,38.3,15.0,0,5.744999999999999,2.25,,,,,46.2
2023-10-09,,0,Long,2023-10-11 09:15:00,2023-10-11 09:15:00,2023-10-10 12:21:00,2023-10-10 12:21:00,,19200.0,19300,19800,19850,2023-10-12 00:00:00,3,Monday,"[3.45, 3.45]","[4.7, 4.7]","[15.0, 6.25]","[7.75, 0.3]",0,,,0,,,Exit,Target hit,SL hit,Exit,-32.69999999999999
2023-10-16,10.95,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,19764.4,19400.0,19500,20000,20050,2023-10-19 00:00:00,3,Monday,6.9,12.65,11.75,6.95,0,25.3,23.5,0,3.795,3.525,,,,,42.19999999999999
2023-10-16,,0,Long,2023-10-18 09:15:00,2023-10-18 09:15:00,2023-10-18 10:47:00,2023-10-18 10:47:00,,19400.0,19500,20000,20050,2023-10-19 00:00:00,3,Monday,"[2.0, 2.0]","[3.35, 3.35]","[3.4, 3.4]","[2.0, 2.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.0
2023-10-23,10.4,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,19429.05,19150.0,19250,19650,19750,2023-10-26 00:00:00,3,Monday,10.6,24.25,12.2,5.75,0,48.5,24.4,0,7.274999999999999,3.66,,,,,80.4
